13757473
/m/03chbb4
/m/03chbb4
Brian Jacques
2008-10-02
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 34
abbess 1
abbey 9
abbot 4
about 4
above 3
accepts 1
account 1
adder 2
adviser 1
after 8
again 1
against 1
agrees 2
alive 2
all 6
allows 1
almost 1
along 1
also 2
although 1
aluco 4
ambushed 1
among 1
an 3
ancestor 1
and 83
andio 1
another 4
ants 1
anyway 1
apis 3
are 11
around 1
arrive 3
arrived 2
arrives 2
as 6
at 5
attacked 2
attempt 4
attempts 3
away 2
baliss 14
banish 1
battle 1
be 4
because 3
become 1
becomes 4
been 1
bees 3
before 1
begin 1
begins 1
behind 1
being 1
believe 1
bells 3
belltower 1
best 1
between 1
bickering 1
bisky 24
black 2
blames 1
blind 1
blocking 1
blodd 1
bloodwrath 1
body 2
bosie 8
bowlaynee 1
brave 1
break 1
breaks 1
breathe 1
brother 2
bruster 6
bully 1
buried 2
buries 1
burn 1
but 5
by 19
called 1
captivity 1
capture 1
captured 2
carrion 2
catfish 1
caught 2
cave 2
caved 1
ceiling 1
cellar 1
cellerhog 1
chance 1
chaos 1
chases 2
chief 2
chigid 3
cites 1
citizens 1
clay 1
close 1
clue 3
collapse 2
columbine 2
come 1
comes 2
coming 1
company 1
compensate 1
composes 1
composing 1
confirms 1
cool 1
corksnout 5
counterparts 2
coupled 1
crow 3
crows 3
crushed 1
crushing 1
cunning 1
daughter 3
deafened 1
death 5
deaths 1
declares 1
defeated 1
defense 1
denied 1
depression 1
deputy 1
deranged 1
descendents 1
desperately 1
despite 1
dibbun 2
dibbuns 2
did 1
died 1
dig 1
digging 1
dinny 1
dirty 1
disbelieve 1
dishes 1
dismay 1
dispose 1
disposing 1
distant 1
distrust 1
ditch 1
does 1
doing 1
doomwyte 6
doomwytes 8
down 4
dozens 1
drink 1
drives 1
drunk 1
dubble 19
due 2
dwink 12
eat 2
eaten 1
eating 1
eludes 1
emerald 2
encounter 2
end 1
entrance 2
escape 2
escaping 1
eventually 3
evil 2
except 1
exchange 1
extraordinary 1
eye 1
