26777529
/m/0bmfcmj
/m/0bmfcmj
H. E. Bates
1946
{"/m/098tmk": "War novel"}
a 10
able 1
aboard 1
about 1
after 1
alive 1
also 1
an 2
and 13
another 1
are 1
arriving 1
as 1
at 3
attack 1
attempt 1
back 1
battered 1
be 2
been 3
begin 1
believes 1
below 2
binoculars 2
board 1
boat 4
boy 1
breadwinner 2
brief 1
bullets 1
but 2
by 1
called 1
carrying 1
channel 1
character 1
charging 1
children 1
coast 1
contributing 1
crashed 1
crew 1
day 1
deck 4
despite 1
die 1
discovers 1
distress 1
dogfight 1
down 1
draws 1
dreaming 1
effort 1
end 1
enemy 1
engine 1
engineer 1
english 2
enough 1
events 1
final 1
find 3
finds 1
fishing 1
flies 1
fuel 1
further 1
german 5
get 2
goes 1
going 1
gregson 4
has 7
have 2
he 5
head 1
hear 1
hears 1
help 3
helping 1
him 1
himself 1
his 2
hit 2
hoist 1
hoping 1
in 2
informs 1
injured 2
is 6
it 2
jimmy 3
keep 1
killed 1
left 1
lost 1
luftwaffe 1
main 1
make 1
member 1
mr 1
much 2
not 3
of 7
old 1
on 2
out 2
pair 1
particular 1
patrol 1
penetrated 1
pilot 4
pilots 4
place 2
plane 2
promised 1
protestations 1
racing 1
raf 1
rain 1
realise 1
requests 1
returns 1
routine 1
sails 1
sea 1
search 1
sent 1
seriously 1
severely 1
shooting 1
shore 1
shot 1
should 1
signal 1
simply 1
single 1
skipper 1
snowy 6
so 1
some 1
somewhere 1
soon 1
sound 1
source 1
south 1
spends 1
starts 1
still 1
story 3
stretch 1
succeed 1
take 1
takes 2
tank 1
tea 1
that 7
the 33
them 3
they 8
third 1
three 1
time 1
to 15
towards 1
travel 1
trying 1
two 1
unattended 1
until 1
upon 1
volunteered 1
war 1
west 1
which 1
whilst 4
whistling 1
who 1
wife 1
will 2
with 1
wounded 1
young 3
