1478845
/m/054qln
/m/054qln
Harlan Ellison
1965-12
a 15
according 1
against 1
alice 2
always 1
amount 1
an 2
anarchical 1
and 5
announces 1
as 2
at 3
away 1
be 2
beans 1
before 1
behind 1
being 1
betrayed 1
brainwashed 1
bullhorn 1
but 1
by 4
c 1
called 2
captured 1
cardioplate 1
carefully 1
carries 1
civil 1
command 1
consequence 1
converted 2
coventry 1
crime 2
david 1
decides 1
device 1
disguised 1
disobedience 1
disrupts 1
distracting 1
do 1
done 1
dystopian 1
eightyfour 1
else 1
encourage 1
end 1
engages 1
eventually 1
everett 2
everyone 2
everything 1
exasperated 1
extremely 1
fact 1
factory 1
focuses 1
for 2
forcing 1
from 3
future 2
george 1
girl 1
going 1
good 1
harlequin 6
has 2
he 4
heart 2
hefty 1
henry 1
him 5
his 3
how 1
hunt 1
ignore 1
in 9
inconvenience 1
instead 1
is 14
it 1
jelly 1
jobs 1
kept 1
late 1
life 1
lives 1
look 1
man 1
manner 1
marm 1
master 1
merely 1
methods 1
minutes 1
mrmee 4
multicolored 1
must 1
named 2
never 1
nineteen 1
normal 1
not 2
of 5
off 2
office 1
on 3
once 1
one 2
opens 1
or 2
orwell 1
out 2
passage 1
penalty 1
people 2
person 1
place 1
precise 1
pretty 2
proportionate 1
public 1
publicly 1
pull 1
punctual 1
reappears 1
rebellion 1
regulated 1
relationship 1
repent 1
return 1
revoked 1
run 2
satirical 1
schedule 3
schedules 1
sends 1
showering 1
similar 1
simply 1
smith 1
sneers 1
society 2
stop 2
story 3
strictly 1
subordinates 1
such 1
tasks 1
tells 2
that 6
the 24
their 3
them 1
this 2
thoreau 1
thousands 1
three 1
ticktockman 9
time 7
timekeeper 1
to 15
turned 1
ultimate 1
using 1
utilizes 1
walks 1
wanting 1
was 1
where 1
which 1
whimsical 1
who 3
winston 1
with 4
workers 1
wrong 1
