3258018
/m/091rgp
/m/091rgp
Garth Nix
2007-02
a 18
abdicated 1
about 1
accidentally 1
accomplish 1
advises 1
affairs 1
after 1
all 2
allegiance 1
alone 1
along 2
among 1
an 1
and 22
apparently 1
appear 1
appears 1
architect 1
are 5
around 1
arrives 1
artful 1
arthur 14
as 8
at 4
avraxyn 1
bat 1
be 7
beautiful 1
because 1
become 1
before 2
beginning 1
behest 1
being 1
beings 1
believes 1
bend 1
bigger 1
bindings 1
bizarre 1
blue 2
body 1
bodyguard 1
book 1
boy 1
breach 2
british 1
but 2
butler 1
by 2
call 1
calls 1
can 3
cannot 1
chained 1
children 1
claim 1
cleaner 1
close 1
closes 1
command 1
confirmed 1
contemplating 1
convince 1
cover 1
creature 1
dame 1
dayroom 1
decides 2
deduced 1
defeats 1
denizen 3
destroy 1
dials 1
died 1
difference 1
dissolved 1
do 2
does 2
domain 1
doomed 1
dr 2
dragon 1
drains 1
drinks 1
dusk 1
each 1
earning 1
earth 1
either 1
elite 1
embody 1
emotions 2
end 1
entrance 1
even 1
eventually 1
every 1
everybody 1
except 1
experience 2
experiences 1
fearing 1
fetchers 1
fifth 4
fighting 1
fights 1
final 1
find 1
finds 2
first 2
fixes 1
flying 1
for 2
forces 1
form 1
four 2
fourth 3
fox 1
fred 4
friday 11
friend 2
friendship 1
from 6
gave 1
gets 1
giant 1
gives 2
go 1
going 1
gold 1
grab 1
guided 1
has 6
have 1
having 2
he 8
head 1
her 5
herself 2
hideout 1
him 4
himself 1
his 5
hole 1
house 16
however 1
i 1
if 1
improbable 1
in 14
inclinations 1
infatuated 1
initial 1
instantly 1
intervene 1
into 2
is 24
it 9
itself 1
just 1
key 7
keys 3
kidnapped 1
killed 1
known 1
lady 7
lair 1
last 1
later 2
latter 1
leaf 2
legs 1
letter 1
likable 1
little 1
lost 1
loungers 1
lower 2
loyal 1
make 1
makes 1
manage 1
manuscriptgilding 1
mastery 1
matters 1
may 1
meet 1
meets 1
member 1
memories 1
mentioned 1
message 2
messages 1
middle 9
mindcontrolling 1
moderation 1
monday 1
more 1
mother 2
mould 1
mountain 2
much 1
must 1
necks 1
new 1
night 1
nithling 1
no 1
not 5
note 1
nothing 1
numbers 1
obtained 1
of 30
off 1
on 3
once 1
one 1
or 3
order 1
orders 1
originated 1
other 1
others 1
own 4
part 5
parts 1
people 3
personal 1
pick 1
piece 1
pinnacle 1
piper 7
plan 1
plate 3
possession 1
power 2
presumed 2
primus 1
raised 1
reach 1
reaches 1
readers 1
reads 1
realms 1
receive 1
refined 1
refuge 1
remaining 1
remind 1
removed 1
result 1
retains 1
return 1
returns 1
revealed 2
rule 1
s 1
saturday 7
saying 1
scamandros 1
scriptorium 4
secondary 1
selfcontrol 2
sender 2
sends 1
sent 3
sentence 1
servants 3
settle 1
seven 1
several 1
she 4
shown 1
singlehandedly 1
sir 2
skinless 1
sneezer 1
so 2
some 2
sprung 1
staff 1
stair 1
stands 1
stated 1
still 1
straight 1
sufficient 1
suggestion 2
sunday 3
superior 2
supposed 1
suzy 6
take 1
taken 1
takes 2
task 1
tells 1
terraced 1
than 1
that 16
the 88
their 8
them 6
then 1
there 3
thereafter 1
therefore 2
these 2
they 4
this 4
thousands 2
three 1
thursday 2
time 1
to 38
torso 1
touches 1
transfer 1
transferred 1
transfers 1
transport 3
trap 1
trust 1
trusted 1
trustee 1
trustees 1
turns 1
turquoise 1
ugham 5
unwittingly 1
up 1
upon 1
upper 2
use 1
uses 2
versa 1
vice 1
virtue 1
void 1
was 1
way 1
what 2
when 2
where 1
which 6
while 3
who 2
whoever 1
will 7
winged 2
wish 2
with 6
within 1
without 1
wittingly 1
workshop 1
world 2
you 1
