935303
/m/03rgbn
/m/03rgbn
Sergey Lukyanenko

{"/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
a 45
about 2
above 1
act 1
actions 1
advice 1
after 1
again 1
agree 1
agreement 1
agrees 1
alibi 1
alisa 4
alisher 1
all 5
allow 1
allowing 1
an 12
and 53
angered 1
announces 1
anton 41
anything 2
apartment 4
appearance 1
are 2
around 1
arrives 3
artifact 3
as 14
asks 3
astonished 2
at 4
attacks 2
aura 1
avail 1
away 3
back 5
be 5
because 1
become 1
been 3
being 3
better 1
between 1
blood 1
bodies 4
body 4
book 3
boris 8
boss 1
both 1
boy 1
brags 1
brief 1
briefly 1
brought 1
bunch 1
but 7
by 14
called 3
calling 1
calls 2
calmly 1
can 2
car 2
chalk 4
change 1
changing 1
channeling 1
charging 1
chased 1
chasing 2
choice 1
clashes 1
comes 3
comply 1
comprises 1
compromised 1
concerned 1
connected 1
considering 1
conversation 1
could 5
couple 1
coveted 1
cub 2
curious 1
cursed 3
dagger 1
damnation 1
danger 1
dark 17
day 8
dead 1
decide 1
departed 1
destiny 7
destructive 1
did 1
didnt 1
directing 1
disappears 1
discovers 4
discussions 1
dispose 1
distraction 1
do 2
does 1
doesnt 3
donnikova 1
dont 1
doomed 1
drained 1
drains 1
drinking 1
each 1
effective 1
egor 19
enchanted 1
energy 1
erased 1
establish 1
established 1
evening 1
everyone 1
everything 1
evil 1
except 1
exchange 1
explaining 1
fact 3
failed 1
family 1
fate 1
feeling 1
feels 1
female 1
field 1
fight 2
figure 1
finally 3
find 3
finds 3
first 2
flees 1
follows 1
for 10
from 8
full 1
fun 1
furious 1
galina 1
gathering 1
gesar 10
gets 3
give 1
gives 1
glance 1
go 3
goes 6
good 1
gorodetsky 1
grow 1
growing 1
guilt 1
had 1
has 7
have 5
he 27
head 1
headquarters 2
help 2
her 14
herself 2
hide 1
him 19
himelf 1
himself 4
his 15
hit 1
hitch 1
home 1
house 2
how 1
huge 1
hunt 1
ignat 1
ignatievich 8
illegally 2
ilya 1
image 1
in 21
inadvertently 2
incantation 1
incapacitate 1
including 1
incompetent 1
incubus 1
indecisiveness 1
independent 1
indicates 1
influencing 1
informs 1
initially 1
innocence 1
inoffensive 1
inquisition 1
inside 1
inspector 1
instead 1
intercepted 1
intervenes 1
into 1
intrigues 1
is 17
it 5
joins 3
joy 1
judge 1
just 2
kill 2
killed 1
killer 1
killing 2
kills 3
know 1
kostya 1
last 1
later 4
least 1
leaves 4
leaving 1
led 1
level 1
license 1
light 8
loses 1
love 2
loved 1
mad 1
mage 4
mages 2
magical 1
make 2
making 1
man 2
manage 1
manages 2
many 1
mask 1
matter 1
maxim 12
mean 2
meantime 1
meanwhile 2
member 1
metro 2
might 1
minor 1
misused 1
morality 1
mother 1
murder 1
murderer 1
must 1
mysterious 1
name 1
nature 1
nazarova 1
nearly 1
neighbour 1
new 1
newspaper 1
next 2
night 4
no 1
not 2
nothing 1
notices 4
now 2
of 20
off 2
offer 1
old 1
olga 16
on 5
one 4
only 2
opens 1
operation 1
operatives 3
or 2
order 2
ostankino 1
other 10
others 2
out 2
outside 1
outwitted 1
over 2
owl 2
passersby 1
pawn 1
penetrating 1
person 1
piece 1
plan 1
planned 2
plans 1
pointing 1
possesses 1
potential 1
power 4
powerful 1
powers 5
prepares 1
presence 1
protect 1
protection 1
punishment 1
raise 1
reading 1
real 1
realises 1
realizes 1
reason 1
reassigned 2
recently 1
recognises 1
recognize 1
referring 1
rejects 1
relationship 1
relax 2
reluctant 1
reluctantly 1
remains 1
remoralization 2
research 1
restaurant 1
returned 1
returns 1
reveal 1
revealed 1
reveals 9
revenge 2
reverts 1
rewrite 3
rewriting 2
rewrote 1
ride 1
rogova 1
roof 3
rooftop 1
saushkin 1
save 1
say 1
says 1
search 1
secretly 1
seem 1
seemingly 1
seems 1
sees 2
sends 2
sent 1
set 1
setting 1
she 6
shot 1
should 2
showing 1
silence 1
simple 1
slips 2
someone 2
son 1
sorceress 1
speak 1
special 1
spell 2
spot 1
spots 1
stabbed 1
state 1
station 1
stop 1
stops 1
stories 1
storm 2
stuffed 1
stumbles 1
subway 1
suggests 2
supposes 1
surprisingly 1
suspects 1
svetlana 20
swap 1
swapped 1
switch 2
takes 1
taking 2
talking 1
talks 1
team 1
telepathically 1
tell 1
temporarily 1
temporary 1
that 28
the 70
their 9
them 7
then 11
there 1
they 7
things 1
thinking 1
thinks 2
this 2
three 1
through 1
tiger 2
time 2
to 56
toilet 2
told 1
tower 4
tracks 1
transforms 1
trapped 1
treaty 1
tries 2
triumphant 1
true 1
twilight 3
two 1
unaffiliated 2
unnoticed 1
up 3
upon 1
use 4
used 3
uses 5
using 2
uzbekistan 2
vampire 2
vampires 3
vampiress 2
via 1
visit 1
vortex 1
waiting 3
walking 2
want 1
was 6
watch 10
weaker 1
well 1
what 3
when 6
where 4
which 1
while 5
who 8
whod 1
whole 1
why 1
wife 2
will 1
with 15
without 1
witnesses 1
woman 3
wooden 1
work 1
world 2
would 3
write 2
young 4
zabulon 13
