1390418
/m/04yrp0
/m/04yrp0
Derek Robinson
1983
10th 1
13 1
140 2
17 1
1s 1
7th 1
a 40
about 3
above 1
accept 2
accidental 1
achieves 1
across 1
acting 1
action 5
acute 1
adhere 1
adherence 1
advance 1
adventure 1
aerial 1
aerodrome 2
after 1
again 2
against 5
air 2
aircraft 6
airfield 2
airfields 1
alive 1
all 2
already 1
also 2
alter 1
although 1
american 1
amongst 2
an 9
and 53
angrily 1
another 2
any 1
appalled 1
appear 1
are 9
area 1
around 1
arrives 2
as 8
at 7
attack 5
attacking 1
attacks 2
attempts 1
august 1
authority 2
available 1
await 1
away 1
badly 4
bales 2
barton 8
battle 3
battlefatigued 1
become 2
becomes 1
been 2
begin 3
begins 4
behind 1
belgium 2
believes 1
bellamy 3
better 1
billeted 1
bing 2
blenheim 1
blitzkrieg 1
bomber 4
bombers 1
bombing 1
both 3
brash 1
breaking 1
breaks 1
bridge 1
britain 3
british 2
bullies 1
bullying 2
burned 1
burnt 1
but 8
by 2
bythebook 1
cake 1
calmly 1
cannot 2
capacity 1
cattermole 13
causes 1
cease 1
ch3 1
channel 2
chateau 1
checking 1
christopher 1
civil 1
civilians 1
claiming 1
claims 1
closeformation 1
closer 1
cockpit 1
cocky 1
comfortable 1
command 3
commander 1
conceals 1
concludes 1
conduct 1
confident 1
confirm 1
constantly 1
continues 1
convoys 1
court 1
cox 2
crash 2
crashes 1
crashlands 1
crippled 1
crowding 1
cumbersome 1
cynical 2
cynicism 1
czech 1
damaged 2
dangerously 1
day 2
days 1
dead 1
death 4
declare 1
defective 1
defiant 1
deliberately 1
demoralised 1
dense 1
despatched 1
despise 1
destroy 2
destroys 1
dickie 1
dies 2
disagreements 1
discipline 1
discusses 1
disturbing 1
dives 1
diving 1
do 3
dornier 1
doubt 1
down 6
drilling 1
due 1
eager 1
eccentric 1
eccentricity 1
eight 1
ends 1
england 2
englishman 1
englishwoman 1
enjoy 1
enquiry 1
enters 1
equipped 1
escorting 1
especially 1
euphoric 1
even 2
eventually 1
every 1
evil 1
exhausted 1
exhaustion 1
expat 1
expected 1
expects 1
experiences 1
face 1
falls 1
fanny 1
fatally 2
fed 1
fighter 4
fighters 1
fighting 1
find 1
finding 1
finds 1
first 3
fitz 1
fitzgerald 4
flash 1
fleeing 1
flies 3
flight 2
flip 1
flung 1
flying 3
foe 1
fog 1
follow 1
following 1
for 2
forbidden 1
force 1
forcelands 1
forces 2
forgive 1
formation 1
four 1
france 3
french 1
from 6
german 14
germans 1
get 1
gets 2
glorious 1
goading 1
gordon 5
ground 1
group 1
grows 1
gunner 1
gunnery 2
haddy 1
haducek 2
handful 1
hanging 1
hard 2
hart 9
has 4
hawker 1
he 8
heavy 1
