18743877
/m/04gmnhh
/m/04gmnhh
Carl Amery
1974
1688 1
a 7
after 1
agent 1
aim 1
all 1
alter 1
altered 1
alternative 1
an 1
and 4
are 1
arnold 1
as 3
asset 1
at 1
attempt 1
attempting 1
back 1
bavarian 1
bavarianscottish 1
be 5
becomes 1
before 1
book 1
british 1
but 2
by 5
can 3
cant 2
catholic 2
catholicism 1
cause 1
changed 1
charge 1
chooses 1
church 4
claim 1
current 1
da 1
death 1
defunderoll 1
department 1
deposited 1
desert 1
destroyed 1
details 2
devil 1
england 1
english 1
events 1
eventually 1
example 1
exchange 1
failed 1
fake 1
favour 1
finale 1
fli 1
for 5
franz 1
from 1
future 1
gains 1
group 1
guard 3
his 2
historical 1
history 1
house 2
however 1
in 8
instead 1
interpreted 1
inventor 1
is 8
it 1
its 1
killed 1
knowledge 1
later 1
learns 1
legalising 1
leonardo 1
life 1
lost 1
loyal 1
luther 2
machine 2
main 1
major 1
martin 1
meet 1
member 1
members 1
men 1
mission 1
ninetyfive 1
not 1
of 13
officials 1
on 1
only 1
out 1
perceives 1
pope 2
possession 1
prevented 1
progetto 1
project 2
publishing 1
purpose 1
purposes 1
reale 1
rebellious 1
recover 1
reestablish 1
reformation 1
reservoir 2
restoration 1
royal 1
sacrifice 1
scone 1
selected 1
selects 1
self 1
sent 2
small 1
soldier 1
specific 1
stone 3
stuart 1
stuarts 1
succeeds 1
supervised 1
surrounding 1
swiss 3
that 1
the 35
their 2
themselves 1
theses 1
this 2
throne 1
through 1
time 3
timetraveling 1
to 6
too 1
troops 1
undertaken 1
undone 1
unsuspecting 1
vatican 2
very 1
vinci 1
visitation 1
weak 1
what 1
while 1
without 1
wittelsbach 1
