31184460
/m/0gh6vs8
/m/0gh6vs8
Simone Weil

1 3
140s 1
2 1
3 1
a 42
abilities 1
ability 1
able 3
above 2
access 1
according 1
accountable 1
accurate 1
activity 1
advises 4
against 3
alive 1
all 6
allowing 1
alone 1
also 1
amount 2
an 12
ancient 1
and 39
antithetical 1
any 2
applicability 1
applying 1
appreciate 1
appropriately 1
are 14
arent 1
argues 2
arises 1
arrangement 1
as 25
asserts 2
association 1
at 2
attention 1
author 1
automatically 1
avoidable 1
backs 1
balance 2
banned 1
based 2
basic 1
basing 1
battle 1
be 18
beauty 1
because 2
been 1
begins 1
being 4
beings 2
best 2
better 1
between 2
binding 1
bodily 1
body 1
book 2
books 1
boredom 1
both 3
brief 1
broad 1
buildings 1
but 5
by 7
call 1
can 5
carrying 1
case 1
causes 2
certain 3
chain 1
chance 1
character 1
characterized 1
childlike 1
children 1
choice 1
choices 1
christian 1
circumstances 2
claims 1
collective 2
collectives 5
commanding 1
commands 1
committal 1
common 2
communities 1
community 1
composed 1
compromised 1
concept 1
concerned 1
conditions 3
conduct 2
conscience 1
consent 1
considers 1
coolness 1
correspond 1
crime 3
criteria 1
dangerous 1
deal 1
dealing 2
death 1
decisions 1
defined 2
defines 1
degree 1
deliberately 1
depending 1
deprivation 1
deprived 1
described 2
describing 1
desire 1
detail 1
detrimental 1
devotion 1
differences 1
diminish 1
directing 1
disciplinary 1
discussed 1
discusses 3
discussing 1
discussion 1
disgusting 1
distinction 1
divided 2
do 1
dont 2
down 1
due 2
each 1
easily 1
eating 1
egyptian 1
employee 1
employees 1
employer 2
encounters 1
ends 1
enjoy 1
enjoyment 1
enough 1
entitled 1
equal 2
equality 2
errors 1
essence 1
essential 9
eternal 1
even 1
events 1
every 1
everyone 3
except 1
exceptional 1
exercise 1
express 1
expressed 1
extends 1
extensions 1
external 1
fairly 1
fall 1
falling 1
fear 5
feel 3
feelings 1
feels 1
find 1
fit 1
flourishing 1
flowering 1
food 5
for 22
form 1
fourteen 1
france 1
fraternity 1
free 1
freedom 2
freely 1
french 1
from 6
fulfil 1
fundamental 2
general 1
generosity 1
genius 1
given 2
goal 1
goes 1
good 4
grade 1
grasped 2
grouped 1
habit 1
happiness 1
harmful 2
has 3
have 9
heating 1
heavenly 1
held 2
help 1
helps 1
her 2
heroism 1
hierarchism 1
hierarchy 1
higher 1
his 1
history 1
holding 1
homes 1
honour 3
how 2
however 2
human 5
idea 1
ideal 2
ideally 1
ideas 2
if 4
illustrated 1
importance 1
important 1
in 17
incompatible 1
independent 1
individual 5
individuals 3
inequality 1
inevitably 1
information 1
infringement 1
inhabited 1
initiative 1
insofar 1
inspiring 1
into 10
introduce 1
introduced 1
involve 2
involves 1
is 29
isolation 1
it 8
its 1
job 1
joy 1
keep 1
kinds 1
lack 1
land 1
lasting 1
lawful 1
leader 1
leadership 1
least 2
less 1
liable 1
liberty 3
lie 1
life 4
like 1
lives 1
long 1
low 1
made 1
make 2
makes 1
man 1
mankind 2
many 1
mass 1
mature 1
may 1
meaningful 2
measures 1
media 3
medical 1
medicine 1
meet 1
memory 1
mentioning 1
mere 1
met 1
milieu 1
minimises 1
mistaken 1
mobility 1
model 1
moral 2
more 3
most 4
mostly 1
motivated 1
much 2
must 1
nation 1
nationhood 1
nature 1
necessary 1
need 11
needs 16
new 1
no 2
nobility 1
noble 1
nonphysical 1
not 10
notion 1
obedience 3
obey 1
objects 1
obligation 3
obligations 11
of 64
often 1
on 7
one 8
only 3
opinion 2
opportunities 1
opportunity 1
oppressive 1
or 8
order 3
orders 1
organisation 1
other 3
others 5
ought 1
out 1
outside 1
over 1
overcome 1
own 6
ownership 1
