4792251
/m/0cnk36
/m/0cnk36
Larry Niven
1968
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
300 1
40 2
a 34
ability 2
able 2
about 2
accepting 1
accepts 1
adult 1
advance 1
advanced 1
advancements 2
after 1
agent 1
agents 1
agreement 2
alien 1
all 4
allows 1
along 1
amazingly 1
among 1
an 9
and 41
angered 1
animation 1
another 3
any 1
anyone 1
are 10
area 1
around 1
arrested 1
arrives 1
as 8
assassinate 1
assume 2
assumed 1
at 3
atmosphere 2
attempt 1
attention 1
automated 1
averted 1
back 1
baldness 1
banks 2
bargaining 1
be 7
became 1
become 2
becomes 1
been 2
before 4
began 1
begins 2
being 2
beneficial 1
benefits 1
best 1
blood 1
bloodstream 1
breakthroughs 1
breathable 1
brought 1
bussard 1
but 7
by 10
california 1
called 2
can 3
captain 2
captured 2
car 2
care 1
cargo 2
cargoes 1
carrying 1
castro 2
casually 1
cause 1
ceti 1
chase 1
circulatory 1
civilization 1
claimed 1
cleans 1
cliff 1
clots 1
colonist 2
colonists 6
colony 7
come 1
compel 2
compelled 1
compromise 1
conceals 1
conclude 1
conflict 2
conservative 1
considered 1
consist 1
constructed 1
continues 1
contract 1
control 4
controls 1
conversation 2
cosmetic 1
covenant 2
crew 8
crimes 4
culture 2
currently 1
damages 1
dead 1
deal 1
death 3
decedent 1
defects 1
demands 1
dense 1
deposits 1
deprivation 1
descendant 1
descendants 1
destroy 1
destruction 1
detonate 1
devotion 1
die 1
difficulty 1
direct 1
disband 1
discovered 1
discovery 1
disease 1
dissatisfied 1
dissected 1
dissident 2
dissolves 1
dives 1
do 1
does 1
doing 1
donation 1
drawn 1
earth 10
edge 3
eligible 1
emerged 1
encounters 1
end 1
ends 1
enter 3
escape 1
escaping 1
even 2
ever 1
every 1
evolves 2
except 1
excited 1
expect 1
explains 1
eyes 1
facility 1
faction 1
fail 1
fanatical 1
faster 1
fatty 1
feature 1
feeling 1
fights 1
figure 2
finds 1
first 3
flee 1
flees 1
flight 1
flirtatious 1
focus 3
focused 2
follow 1
followed 1
for 8
force 2
form 1
former 1
forms 1
four 1
free 2
frightened 1
from 6
full 1
function 1
gas 1
gets 1
given 1
gives 2
go 1
government 2
grants 1
great 1
greatest 1
gripped 1
group 1
guilty 1
gun 1
habitable 1
had 4
half 2
harvest 1
has 5
have 2
having 2
he 16
headed 1
headquartered 1
heart 1
her 6
high 1
him 11
himself 1
his 6
hold 1
home 2
hooks 1
hopes 1
hormone 1
hospital 5
hot 1
house 3
how 1
however 3
human 3
humans 1
hypnotic 1
if 2
ignites 1
immediately 1
immense 1
