956271
/m/03t60t
/m/03t60t
Anthony Powell
1960
{"/m/06nbt": "Satire", "/m/05hgj": "Novel"}
136 2
137 1
a 2
abandoned 1
about 1
alcoholic 1
also 1
an 1
and 6
announced 1
appearance 1
at 2
attending 1
baby 1
back 1
becomes 1
birth 1
book 1
by 1
carolo 1
chips 1
civil 1
clarke 1
commits 1
concerning 1
culminating 1
deacon 1
death 1
encounters 1
engaged 1
erridge 2
fallen 1
first 2
for 3
foxe 1
from 1
give 1
gives 1
gossage 1
has 1
he 1
her 1
his 2
hospital 1
in 4
is 5
isobel 2
john 1
lady 1
late 1
late20searly30s 1
leaves 1
little 1
loses 1
lovell 1
lunching 1
maclintick 2
maclinticks 2
marriage 1
matilda 2
meetings 1
meets 1
moreland 5
mr 1
mrs 1
new 1
nick 5
now 1
of 6
opens 1
others 1
party 1
performance 1
point 1
priscilla 2
puts 1
recovering 1
reminiscences 1
revealed 1
row 1
sees 1
spain 1
spanish 1
spring 1
st 1
stringham 1
suicide 1
symphony 1
the 9
to 2
tolland 1
tollands 1
unexpected 1
various 1
visit 1
visits 1
war 1
warminster 1
where 1
which 1
who 1
widmerpool 1
wife 2
with 3
