20354312
/m/04zwhhg
/m/04zwhhg
Harlan Coben
2008-04-15
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/07s9rl0": "Drama"}
a 18
about 2
action 1
adam 8
after 2
ago 1
alcohol 1
all 2
alone 1
aloof 1
already 1
also 1
an 4
and 28
another 1
anyone 1
apparent 1
appears 1
are 2
around 1
as 4
ask 1
asks 1
assumed 1
at 1
attacker 1
attend 2
authorities 1
avoid 1
away 1
bad 1
badly 1
baye 5
be 6
beaten 2
beating 1
because 2
become 1
been 3
before 1
being 2
believe 1
betsy 1
biological 1
body 1
book 1
bronx 1
brother 1
browsing 1
brutally 1
bullied 1
but 4
by 6
camera 1
cancer 1
cannot 1
cant 1
cassandra 4
cause 1
ceejay8115 1
characters 1
chase 1
claims 1
class 1
classmate 1
closed 1
clothes 1
come 1
comes 1
commented 1
computer 2
confides 1
confronted 1
confronts 2
connections 1
contact 1
contacted 1
cordova 1
correspondent 1
could 2
curtis 2
dante 2
daughter 2
days 2
death 4
deeply 1
detective 1
died 1
disappearance 1
distant 1
diversion 1
doctor 1
donor 3
drawer 1
dreams 1
dress 1
drugging 1
drugs 1
due 1
dumpster 1
earlier 1
email 1
end 1
ends 1
events 1
explained 1
face 1
facial 1
father 4
few 2
find 3
finds 1
following 1
fool 1
for 6
found 2
friend 3
friends 1
from 1
front 1
game 2
getting 1
goldfarb 1
gone 1
good 1
gps 1
great 1
group 1
gun 1
guy 2
had 2
hair 1
has 3
hasnt 1
have 1
he 8
help 1
her 19
hidden 1
hill 2
him 5
his 5
hockey 2
hospital 1
house 1
how 2
however 1
i 2
identify 1
if 1
ilene 1
imagined 1
impossible 2
in 9
install 1
into 1
introduced 1
investigating 2
is 17
it 3
jill 2
joe 2
jolted 1
just 2
kidney 2
killed 1
killing 1
known 1
last 1
lately 1
later 1
leads 2
lengths 1
lewiston 4
like 1
likely 1
likewise 1
loaded 1
look 1
looks 1
loren 1
loriman 1
love 2
loved 1
lucas 4
make 1
marianne 8
match 1
mayhem 1
meanwhile 1
meet 1
memorial 1
message 1
mike 10
mo 2
most 1
mr 1
murder 3
murdered 1
murders 1
muse 1
must 1
mutilated 1
named 1
nash 5
need 1
needs 1
neither 1
never 1
next 1
night 2
not 3
of 16
officials 1
on 7
one 2
online 1
only 3
origin 1
out 3
outside 1
overprotective 1
parent 2
part 1
particular 1
partner 1
party 2
phone 1
photo 2
pick 1
pietra 2
potential 2
professional 1
program 1
prostitute 2
quiet 1
range 1
raped 1
rapist 2
reader 2
readers 1
real 1
realizes 1
reason 1
reasons 1
reba 1
recent 1
referred 1
remove 1
revealed 1
revenge 1
robbery 2
roof 1
runs 1
safe 1
safety 1
same 1
school 2
served 1
set 1
severely 1
she 7
shows 1
sister 1
sixteenyearold 1
skip 1
so 1
some 1
someone 1
son 8
spencer 3
spy 1
spying 1
standing 1
start 1
starts 1
stay 1
still 2
story 1
strange 1
struck 1
suicide 2
suitable 1
susan 5
switches 1
tablets 1
taken 1
taking 1
teacher 1
tell 2
tells 4
tested 1
that 12
the 39
their 6
then 3
there 1
they 4
theyd 1
thing 1
think 1
thinks 1
this 2
through 1
tia 3
to 32
together 1
told 3
toss 1
track 1
transplant 1
tricks 1
try 2
unknown 2
unusually 1
up 4
urgently 1
use 1
very 1
victim 1
vodka 1
was 6
wasnt 1
we 1
what 1
when 1
which 2
who 3
will 1
winds 1
with 4
within 1
words 1
worried 1
worry 1
yasmin 2
years 1
