4905637
/m/0cthnq
/m/0cthnq
Joe Dever
1990
{"/m/03ff00": "Gamebook", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
a 2
after 1
again 1
all 1
and 3
as 1
be 1
been 1
before 1
books 1
can 1
cenerese 1
chaos 1
destroy 1
druids 1
even 1
events 1
find 1
for 1
group 1
has 1
have 1
his 1
is 1
it 2
kai 2
lone 2
magnamund 1
massive 1
moment 1
must 1
new 1
of 5
once 1
peace 1
plague 2
plot 1
poised 1
previous 1
reader 1
recruits 1
refounded 1
reigns 1
released 1
series 1
source 1
taken 1
the 6
this 1
though 1
to 2
training 1
tutelage 1
under 1
unfold 1
unleash 1
up 1
upon 1
wolf 2
