4584283
/m/0cb41s
/m/0cb41s
Steven Brust
1984-07
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 18
achieve 1
after 3
ago 1
aliera 8
all 2
allow 1
allows 1
also 1
alternate 1
ambitions 1
ambitious 1
an 3
and 24
another 1
appoint 1
apprentice 1
are 2
as 6
assassin 3
assassination 1
assassinations 1
assassins 3
attack 1
attacked 1
attempt 1
attempts 1
attention 1
away 2
back 1
backs 1
bastard 2
battle 1
be 2
been 2
before 1
begins 2
behind 2
believing 1
betray 1
betterinformed 1
betterprepared 1
between 1
bodyguards 1
boss 3
but 4
by 2
cawti 6
chapter 2
claim 1
complies 1
conclusion 1
confirmed 1
consort 1
control 1
criminal 1
current 1
dagger 1
deal 1
defenses 1
destroys 1
determine 1
difficulty 1
dimension 1
discovers 1
discredit 1
disgrace 1
do 1
does 2
down 1
dragaeran 1
dragon 3
dragonlord 1
dubbed 1
each 1
eastern 1
easterner 3
emperor 1
enforcers 1
engaged 1
engages 1
epigraph 1
erupts 1
events 1
eventually 1
failed 1
fall 1
fallen 1
female 1
fight 1
first 1
for 3
former 2
friends 2
from 5
further 1
genetic 2
get 2
give 1
grandfather 1
green 2
guards 2
had 1
has 4
have 1
having 1
he 4
heir 4
held 1
help 2
her 10
hesitation 1
him 6
his 13
house 2
how 1
humiliation 1
if 1
in 11
incorrectly 1
indirect 1
install 1
into 2
invade 1
investigation 1
involved 1
is 7
its 2
keep 1
kill 2
killed 2
killing 2
kingdoms 1
larger 1
laris 7
later 1
lavode 2
leads 1
learns 2
led 1
legitimacy 1
legitimate 1
lieutenant 1
life 2
location 1
looking 1
love 1
lowrung 1
magical 2
married 1
meets 1
mind 1
months 2
morganti 1
morrolan 4
most 1
move 1
namesake 1
narrates 1
needs 1
neighborhood 1
neighboring 1
norathar 7
not 1
now 1
of 16
office 1
on 4
once 1
one 1
ongoing 1
only 1
orchestrated 1
organization 2
out 3
own 2
part 1
partner 1
penance 1
personally 1
phoenix 1
plans 1
plot 2
point 1
position 1
powerful 1
probe 1
prominent 1
punishment 1
pursue 1
put 1
quickly 3
quote 1
ranks 1
reach 1
reasons 2
received 1
receives 2
remains 1
rescue 1
revived 1
revivifies 1
rise 1
rival 1
ruse 1
scene 1
schemes 1
sent 1
series 1
sethra 7
several 2
she 4
six 2
slain 1
sneaks 1
some 2
sorceress 6
spellbreaker 1
started 1
step 1
storms 1
story 2
sufficient 1
suggests 1
summarizes 1
summons 1
survives 1
suspect 1
sympathetic 1
teleport 1
teleported 1
teleports 1
tells 1
territory 3
test 2
that 10
the 38
them 1
then 1
they 2
thirty 1
this 1
threatens 1
throne 2
through 1
time 1
timely 1
to 23
took 1
trap 1
turf 4
turns 1
two 4
unable 1
uneventful 1
used 1
visit 1
vlad 23
wants 1
war 5
wards 1
warlord 1
warning 1
wars 1
was 2
watch 1
way 1
well 1
which 1
while 1
who 4
whole 1
will 1
with 9
without 2
word 2
working 1
wrote 1
yendi 1
yet 1
younger 2
