19812271
/m/04q0_5c
/m/04q0_5c
Greg Bear

{"/m/014dfn": "Speculative fiction"}
a 5
action 1
active 1
also 1
altered 1
and 6
as 2
attaching 1
becomes 1
begins 1
birth 1
bodies 1
but 1
by 1
called 1
camp 1
camps 1
captured 1
causes 1
chemical 1
child 1
children 3
christopher 1
chromosomes 1
communicate 1
complex 1
concentration 1
conflict 1
cooperation 1
daughter 1
deadly 1
dicken 1
discoveries 1
does 1
emergency 1
endogenous 1
enhanced 1
expressions 1
facial 1
forces 1
form 1
from 3
genetically 1
government 3
groups 1
have 1
health 1
his 1
human 1
in 1
is 1
it 2
kaye 2
lang 1
made 1
makes 1
maximize 1
millions 1
minimize 1
mitch 1
mutated 1
named 1
nova 1
of 2
own 1
parents 1
people 1
place 1
psychoactive 1
public 1
rafelson 1
represents 1
researcher 1
retrovirus 1
safety 1
scents 1
sent 1
sheva 2
shield 1
significant 1
so 1
spread 1
stable 1
stella 1
take 1
that 2
the 6
their 2
them 1
they 3
this 1
threat 1
to 6
tricks 1
try 1
using 1
verbal 1
virus 1
wife 1
