471083
/m/02dh8k
/m/02dh8k
Joe Simpson

150 1
150foot 1
185 1
3000 1
300foot 1
a 10
about 2
abseiled 1
accidentally 1
after 2
alive 1
all 1
almost 2
alone 1
alpine 1
already 1
amazing 1
amongst 1
an 1
and 22
around 1
as 3
ascend 2
ascent 1
assume 1
attempt 1
attempted 2
awkwardly 1
back 4
bad 3
badly 1
base 1
be 2
because 5
been 3
before 1
belay 2
below 1
both 1
breaking 1
broken 1
but 1
by 3
calling 1
camp 1
carried 1
cave 1
choice 1
civilization 1
cliff 4
climb 2
climbed 1
closing 1
completely 1
conditions 1
consciousness 1
continued 1
cords 1
could 5
couldnt 1
crawling 1
crevasse 4
cut 4
darkness 1
day 1
daylight 1
days 1
dead 1
deaths 1
deep 1
delirious 1
descend 1
descended 1
descending 1
descent 1
despite 1
device 1
died 2
difficult 1
disaster 1
discovered 1
doing 1
down 5
drinking 1
dropped 1
dug 1
enough 1
eventually 1
exhausted 2
exposure 1
face 2
fading 1
failed 1
fall 1
feel 1
feet 1
few 1
firstascent 1
five 1
food 1
for 6
forced 1
freezing 1
from 3
frostbitten 1
fuel 1
give 2
glacier 2
go 1
good 1
grande 1
had 13
hands 1
hang 1
happened 1
have 3
he 14
hear 1
hearing 1
high 1
higher 1
him 1
himself 3
his 9
hopping 1
hours 1
however 3
hypothermia 1
ice 3
if 1
in 10
inadvertently 1
inside 1
intended 2
into 2
ironically 1
is 1
it 1
joe 1
joint 1
knee 1
knot 3
knots 1
landed 2
landing 1
ledge 1
left 2
leg 3
lengths 1
life 2
little 1
longer 3
lore 1
lower 1
lowered 2
lowering 1
make 1
may 1
melt 1
miles 1
most 1
mountain 3
mountaineering 1
mountaineers 1
much 1
needed 1
next 1
no 2
north 2
not 4
obvious 1
of 8
off 2
on 7
one 2
only 2
onto 2
or 1
order 2
other 1
out 3
own 1
pair 3
part 1
pieces 1
plate 1
plummeted 1
position 1
presume 1
previously 2
proceeded 1
properly 1
prusik 1
pull 1
pulled 1
quickly 1
reached 2
realized 2
regained 1
regarded 1
remained 1
reply 1
required 1
return 1
ridge 2
right 1
roof 1
rope 12
ropes 1
run 1
save 2
saved 1
seat 1
see 1
several 1
side 1
simpson 19
sitting 1
situation 2
siula 1
slack 1
slipped 1
slope 1
small 1
smashing 1
snow 4
so 2
some 1
spent 1
spot 1
stand 1
steep 1
still 1
storm 2
stove 1
strong 1
struck 1
stuck 1
style 1
successful 1
suffering 1
summiting 1
survival 1
survived 1
taken 1
teams 1
tents 1
than 1
that 7
the 43
their 5
them 1
there 1
therefore 1
they 5
thin 1
this 2
thread 1
three 1
through 2
thus 1
tibia 1
tie 1
tied 2
time 1
to 24
together 3
too 1
tried 1
trip 1
two 2
tying 1
unable 1
unclimbed 1
unclip 1
until 1
up 3
upon 1
using 1
very 2
via 2
wait 1
was 8
water 2
way 1
weather 2
weight 1
well 2
were 5
west 1
what 1
when 5
whose 1
widely 1
wind 1
with 4
without 1
worsening 1
would 4
yates 15
