497663
/m/02hk_k
/m/02hk_k
Jerry Pournelle
1985-05-12
a 25
aboard 3
accept 1
accepting 1
act 1
additional 1
admiral 1
advanced 1
adviser 1
advisers 1
advisors 1
affects 1
africa 1
african 1
after 2
aftermath 1
alien 4
aliens 3
allowing 1
almost 1
along 1
alpha 1
also 1
although 1
american 4
americans 1
an 5
analysis 1
and 29
animals 1
another 1
anson 2
apartheid 1
archangel 1
are 20
armed 2
armored 1
around 1
arrival 2
as 9
aside 1
assault 1
asteroid 1
at 3
attack 4
attempts 1
badly 1
bag 1
barbarity 1
barrages 1
based 2
battles 1
beachhead 1
become 2
behavior 1
behind 1
belt 1
between 1
bible 1
biblical 1
biological 1
blacks 1
bloodless 1
board 1
bob 1
bombard 1
bombs 1
book 1
both 1
builds 1
bussard 1
but 5
by 12
called 2
cannon 1
captives 2
captured 1
cargo 1
carrell 1
carried 1
cast 2
catch 1
ceased 1
centauri 1
center 1
chance 1
characters 2
children 1
chtaptisk 1
circumventing 1
civilians 2
civilization 1
cleaner 1
coffey 3
cold 1
combined 1
commonly 1
communicating 1
comprise 1
concept 1
conditional 1
confused 1
congressman 1
conquest 1
consider 1
considerations 1
contact 2
contamination 1
contemporary 1
continent 1
controlled 1
convey 1
cooperate 1
cosmonauts 1
coup 1
couple 1
creatures 1
cubes 1
curtis 1
damage 2
damaged 2
damaging 1
danger 1
david 1
day 2
dealing 1
decide 1
decision 1
dedicated 1
defeat 2
depicts 1
descendants 1
desperate 1
destroy 2
destruction 1
detachment 1
detat 1
developed 1
differently 1
digit 1
dinosaur 1
dislodge 1
distant 1
divided 1
divisions 1
dominant 2
down 1
driven 1
dropping 1
due 2
during 1
earlier 1
earth 4
effectively 1
effects 2
efforts 1
elderly 1
elephants 1
employed 1
end 1
enemy 1
energy 1
enjoy 1
enough 1
environment 1
environmental 2
equal 1
escape 2
escaped 1
etc 1
even 1
events 1
evident 1
existing 1
expect 2
extinct 1
extinction 1
extrapolation 1
exultant 1
facing 2
fall 1
familiar 1
feel 1
females 1
fiction 1
fight 2
fighting 1
final 2
fithp 22
foes 1
folds 1
footfall 1
for 2
forces 2
foul 1
from 6
functioning 1
gained 1
garden 1
generation 1
generationsold 1
geopolitics 1
global 1
government 1
greater 1
greet 1
ground 1
group 1
groups 1
guard 1
hardliner 1
has 1
have 3
he 3
heaven 1
heavily 1
heinlein 1
herd 6
herds 1
high 1
highranking 1
his 2
history 1
however 1
human 4
humanity 3
humans 6
idea 1
ideal 1
immediately 1
impact 1
implementation 1
important 1
in 15
including 2
incomprehensible 1
incorporated 1
india 1
infrastructure 1
initial 2
inscribed 1
integrate 1
intent 1
into 4
invade 1
invasion 2
is 11
it 6
its 1
itself 1
kansas 1
killer 1
kinetic 1
knowledge 1
known 1
land 1
language 1
large 4
laser 1
lasers 1
later 1
launches 1
leaders 1
leans 1
leepers 1
left 1
let 1
life 1
lightcraft 1
lines 1
longterm 1
losers 1
lucifer 1
major 2
making 1
mansized 1
many 1
members 1
menninger 1
mental 1
met 1
meteorite 1
michael 4
mid10s 1
military 2
mixed 1
more 4
mothership 2
multiple 1
named 1
nat 1
national 2
niven 1
none 1
north 1
novel 3
nuclear 3
of 38
offer 2
on 11
one 3
ones 1
only 1
opposed 1
orbit 1
orbital 1
original 1
orion 1
other 2
our 1
out 3
over 2
overview 1
own 1
paceborn 1
part 1
particular 1
past 1
patient 1
peaceful 1
perhaps 1
personnel 1
pets 1
physically 1
planet 1
plot 1
plural 1
possess 2
possible 1
pournelle 1
predecessor 1
prefer 1
prepared 1
presence 1
presents 1
president 2
pressing 1
pressure 1
primarily 1
proceed 2
project 1
projectile 1
propelled 1
protagonists 1
pursues 1
put 1
quadrupedal 1
radioactive 1
radioactivity 1
ramjet 1
rams 1
rather 1
real 2
reasons 1
receives 1
regroup 1
rejection 1
reluctant 1
rendering 1
resemble 1
respond 1
result 1
results 1
reynolds 1
rifles 1
risks 2
robert 1
ruins 1
rule 1
ruled 1
russian 3
russians 1
sabotage 2
scale 1
science 2
secretly 1
security 1
seemingly 1
selected 1
serious 1
seriously 2
setting 1
she 1
ship 5
ships 1
shocked 1
show 1
shuttles 2
simply 1
since 1
sites 1
situation 1
size 1
sleeper 1
slowing 1
small 1
solar 1
some 1
somewhat 1
sophisticated 1
south 1
space 6
spaceborn 1
spacecraft 2
spaceship 1
species 5
stages 1
stars 1
start 1
states 3
station 2
still 2
stone 1
story 1
strategic 1
strikes 1
stronger 1
study 1
subordinate 1
success 1
such 1
superior 1
superpower 1
surface 1
surfacetoorbit 1
surrender 2
system 1
taken 2
taking 1
targets 1
technical 1
technology 5
terms 1
than 3
that 4
the 91
their 12
them 3
themselves 4
then 1
these 3
they 8
this 5
those 3
though 1
three 1
through 1
throughout 1
thuktun 2
thuktunthp 1
time 1
to 27
total 1
towards 1
traveled 1
traveling 1
trunks 1
two 2
under 2
united 3
until 2
upon 1
us 2
use 1
used 1
using 1
ussr 1
vessel 1
victory 1
wade 1
wager 1
wait 1
war 2
wars 1
warships 1
was 6
weapons 3
well 2
were 2
what 1
when 2
where 2
which 2
while 2
whites 1
who 7
whole 1
whose 1
willing 1
willingness 1
winning 1
wipes 1
with 7
withdraw 1
woman 1
work 1
world 3
would 1
writers 2
writing 1
young 1
