20128213
/m/04ydtzf
/m/04ydtzf
Suzanne Collins
2008-09-14
{"/m/06n90": "Science Fiction", "/m/08sdrw": "Adventure novel", "/m/0mz2": "Alternate history", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/0c082": "Utopian and dystopian fiction"}
12nbspand 1
12yearold 1
13th 1
16yearold 1
18nbspfrom 1
50th 1
74th 2
a 17
abernathy 1
ability 1
abrupt 1
actions 1
acts 1
after 2
afterwards 1
against 1
ages 1
agricultural 1
alliance 2
allowing 1
although 1
america 1
an 9
and 19
announce 1
announced 1
annual 2
another 1
apocalyptic 1
appalachia 1
apparently 1
appeal 1
appears 1
are 5
arena 3
arrow 1
as 10
at 1
attempt 2
audience 5
authoritarian 1
back 1
bakery 1
be 3
because 2
become 1
begins 2
believes 1
berries 1
best 1
between 1
body 1
book 1
both 1
boy 1
bread 1
brought 1
by 6
caesar 1
calculated 1
can 1
capitol 9
change 2
chosen 1
cinna 1
civilization 1
coalrich 1
commit 1
concealed 1
consequently 1
consists 1
continent 1
control 1
controlled 1
couple 2
critical 1
day 1
days 1
death 1
defying 1
degree 1
destroyed 1
destruction 1
determine 1
develops 1
dies 1
disgust 1
displayed 1
district 3
districtnbsp11 1
districtnbsp12 3
districts 2
dramatic 1
dreading 1
drunken 1
during 2
each 2
earn 1
employed 1
end 1
established 1
event 2
eventually 1
everdeen 1
falling 1
family 2
favor 1
favored 1
feelings 1
feels 1
few 1
fight 1
finale 1
finds 1
first 1
flickerman 1
flowers 1
food 1
for 5
force 1
forces 1
former 1
formerly 1
from 11
gain 2
gamemakers 3
games 10
gave 1
gifts 2
girl 4
go 1
half 1
has 2
have 3
haymitch 2
he 3
health 1
hearing 1
heartbroken 1
her 12
hero 1
hiding 1
highly 1
him 2
his 3
host 1
however 2
hunger 6
hunting 1
image 1
in 19
individual 1
instead 1
instructs 1
intend 1
interview 1
into 2
is 12
joined 1
katniss 20
kill 2
killed 2
kills 1
knowing 1
known 3
last 1
leaders 1
learns 1
located 1
longtime 1
look 1
lottery 1
love 2
lovers 1
make 1
male 1
meantime 1
medicine 1
mellark 1
mentor 1
midway 1
minds 1
moment 1
more 1
must 2
narrated 1
nation 2
nearly 1
nightlock 1
none 1
north 1
now 1
nurses 1
obtain 1
of 18
offers 1
on 1
onair 1
once 1
one 4
only 2
opportunity 1
or 2
ordeal 1
order 1
other 3
others 1
outdoor 1
over 1
own 2
panem 1
part 2
participants 1
participate 1
past 1
peeta 10
person 1
place 2
ploy 2
poisonous 1
political 1
poorer 1
pouch 1
primrose 1
publicly 2
punishment 1
rather 1
realizes 1
realizing 1
rebellion 1
region 1
relies 1
remain 2
remains 1
reminds 1
respect 1
retrieves 1
reveals 1
reverse 1
richer 1
rue 5
rule 2
same 1
saves 1
schoolmate 1
searching 1
selected 1
send 1
separate 1
she 9
sign 1
sings 1
sister 2
skills 1
so 1
society 1
some 1
sponsors 3
spreads 1
starcrossed 1
starving 1
story 1
strengths 1
stylist 1
stylists 1
such 1
suicide 1
surrounding 1
survival 2
survives 1
surviving 1
sympathy 1
taken 1
takes 1
target 1
television 2
than 1
that 7
the 61
their 3
them 2
then 1
this 3
through 1
time 1
to 29
tools 1
towards 1
treated 1
tribute 3
tributes 9
twelve 1
two 3
under 1
understanding 1
unharmed 1
united 1
unknown 1
unrequited 1
unsure 1
until 2
upon 1
victor 1
victors 2
volunteers 1
warned 1
was 3
watch 1
ways 1
weaknesses 1
wealthy 1
welcome 1
wellpracticed 1
were 1
when 6
where 3
which 2
while 1
who 4
whom 2
will 2
win 2
with 7
would 1
wounded 1
young 1
younger 1
