11701961
/m/02rph9w
/m/02rph9w
Justine Larbalestier
2006
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
15 2
a 1
allows 1
although 1
and 2
at 1
baby 1
brother 1
calls 1
concept 1
continually 1
danny 4
despite 1
dies 1
eighteen 1
eventually 1
feelings 1
finds 1
for 2
forced 1
galeano 1
give 1
golem 2
greatly 1
grow 1
help 1
her 2
him 3
his 1
into 1
is 4
it 1
jaytee 2
magic 1
meanwhile 1
mother 1
nearly 1
new 1
not 1
of 1
old 1
out 1
pregnant 2
pulls 1
reason 5
right 1
running 1
say 1
says 1
she 4
sleeps 1
some 1
that 2
the 2
to 3
tom 1
trace 1
tries 1
until 1
was 1
welcomed 1
when 1
while 2
who 1
whole 1
with 4
year 1
york 1
