10952036
/m/02qw09f
/m/02qw09f
Ralph Helfer
1998-08-26
a 10
able 2
about 1
abuse 1
across 1
acts 2
adrift 1
afloat 1
afraid 1
after 1
age 2
along 1
already 1
america 1
american 1
an 2
and 20
animal 1
another 1
any 1
appear 1
are 2
as 3
at 3
attempt 1
away 1
back 2
be 1
because 1
become 1
becoming 1
before 1
begins 1
big 1
born 1
boy 3
bram 11
brams 4
by 2
care 1
circus 6
comes 1
connection 1
constant 1
contact 1
daughter 1
day 1
decides 1
deteriorates 1
die 1
drawn 1
dream 1
drunk 1
early 1
elephant 5
elephantarium 1
elephants 2
enough 1
eventually 1
family 1
father 3
favorite 1
fell 1
felt 1
find 3
fire 1
first 1
flee 1
followed 1
footsteps 1
for 2
forests 1
from 2
fulfilled 1
generation 1
german 1
girl 1
going 1
he 2
health 1
helfer 3
help 1
her 3
his 5
hollywood 1
hookwielding 1
hour 1
ill 1
in 8
india 1
indian 2
instead 1
intimidation 1
into 2
is 12
join 1
killing 1
knowledge 1
knows 1
last 1
learns 1
leaving 1
life 2
lives 1
locates 1
longer 1
maharaja 2
mahouts 1
many 1
marry 1
modoc 9
modocs 2
mr 2
much 1
north 1
nurses 1
nursing 1
ocean 2
of 11
old 2
on 4
once 1
one 1
others 1
owner 4
pair 1
parted 1
pass 1
perform 1
pitt 1
poisoning 1
population 1
possible 1
praise 1
purchased 1
ralph 1
ranch 1
ranks 1
rebellion 1
rebels 1
recuperate 1
respect 1
rest 1
ring 1
same 2
saying 1
scarred 1
second 1
sells 1
she 3
ship 1
show 1
sold 1
some 1
spend 1
stars 1
status 1
stay 1
story 1
stow 1
supernatural 1
surprised 1
survives 1
survivors 1
take 1
teak 1
tells 1
ten 1
the 32
their 2
them 3
they 3
third 1
threat 1
through 2
to 11
too 1
top 1
town 1
trained 1
trainer 2
training 1
transports 1
treated 1
unexplainably 1
unique 1
until 2
unwilling 1
variety 1
village 1
was 1
way 2
well 1
where 2
which 1
wife 1
will 1
wished 1
with 2
without 1
wrecked 1
years 2
