13075054
/m/02z5jjv
/m/02z5jjv
Michael Morpurgo
1990
{"/m/0hwxm": "Historical novel"}
a 5
accept 1
across 3
after 1
although 1
an 1
and 5
answered 1
anya 1
are 1
be 2
bear 1
become 1
becomes 2
benjamin 2
border 2
but 2
can 1
caught 1
childhood 1
children 4
come 1
dangerous 1
devise 1
difficult 1
during 1
enjoying 1
escape 1
father 1
fight 1
follows 1
for 1
forest 1
french 1
german 3
get 1
getting 1
goes 1
grandfatherhenri 1
happening 1
has 1
he 3
help 2
helping 1
his 6
home 1
horcada 2
house 1
if 1
in 3
incident 1
inhabitants 1
into 2
is 8
jew 1
jewish 2
jo 5
lalande 1
learns 1
left 1
lescun 1
lives 1
living 1
man 3
meets 1
more 2
most 1
motherinlaw 1
move 1
much 1
mysterious 1
named 1
not 2
noticing 1
occupation 1
of 4
on 1
one 2
only 1
person 1
plan 2
proving 1
question 1
relies 1
requires 1
responsible 1
safety 1
second 1
secret 1
shepherd 1
smuggling 1
soldiers 2
spain 1
starts 1
task 1
that 2
the 19
their 1
them 1
there 1
they 1
things 1
to 5
town 3
trusted 1
un 1
war 2
what 1
when 2
where 1
who 2
whole 1
widow 2
will 1
with 2
world 1
worth 1
young 1
