673970
/m/031v2g
/m/031v2g
Karel Čapek

26 1
a 14
absorption 1
academese 1
action 1
adult 1
after 1
all 5
also 1
always 1
ambitious 1
america 1
an 3
and 22
anthropologist 1
any 2
apek 3
appendix 1
are 6
arise 1
around 1
arrogance 1
as 6
assessing 1
at 4
atlantislike 1
attitudes 1
author 3
away 2
be 2
becomes 1
beginning 1
begins 1
below 1
between 5
bondy 3
book 4
bookended 1
books 1
british 1
broad 1
but 5
by 4
called 1
can 1
capabilities 1
captain 2
central 1
chapter 7
chapters 2
characters 1
cites 1
claims 1
clippings 2
close 1
closes 1
clump 1
coastlines 1
collecting 1
collection 1
committing 1
concerned 1
concerning 1
concerns 1
confidence 1
conflict 1
contains 1
continents 2
contrast 1
conversation 1
countries 1
create 1
culture 1
cuts 1
czech 1
darker 2
deal 1
declare 1
declares 1
declining 1
destroy 3
destroyed 1
developed 1
development 5
didactic 1
dimly 1
diplomacy 1
discovers 1
discovery 2
divided 1
does 1
doorman 1
drive 1
early 1
earth 3
end 1
enough 1
entitled 2
eponymous 1
essay 2
european 1
events 1
eventually 2
evidence 1
evolution 1
examines 1
expand 1
exploitation 2
factories 1
falsely 1
far 1
farming 1
final 1
first 6
foibles 1
follies 1
footnotes 1
for 2
form 3
founding 2
four 1
french 1
from 6
full 1
further 1
future 1
generally 1
german 1
germans 1
growing 1
gussie 1
h 1
have 1
he 1
here 1
himself 1
his 1
historian 1
historical 2
history 1
hollywood 1
hostilities 1
household 1
human 2
humanity 3
humans 4
hydroengineering 1
in 14
includes 1
industrialist 1
industry 2
inefficacy 1
inherit 1
initial 1
instead 1
international 1
into 3
introduces 1
irredeemably 1
is 6
island 1
issues 1
it 4
its 1
j 1
journalist 1
land 1
landmass 2
larger 1
last 2
later 1
leads 1
leadup 1
leaving 1
life 1
lighthearted 1
little 1
living 1
long 2
longest 1
longterm 1
looks 1
main 1
mainly 1
map 1
metafictional 1
middle 2
most 1
mouthpiece 1
mr 7
mythical 1
narrative 2
narrator 1
nationalism 1
nationalistic 1
near 1
need 1
new 2
newspaper 1
newt 2
newthuman 1
newts 15
none 1
nonwhite 1
not 1
novel 3
number 2
oceans 1
oddly 1
of 45
offering 1
on 1
one 2
onefifth 1
ones 1
only 3
or 2
order 1
other 1
out 1
outbreak 2
parts 1
pastiche 1
pearl 2
penultimate 1
perceived 1
personas 1
perspective 1
plan 1
points 1
portions 1
portrayed 1
positioned 1
povondra 5
processes 1
projects 1
protagonist 1
quotations 1
races 1
racial 1
range 1
recounts 1
redirect 1
register 1
related 1
relates 1
remains 1
remembered 1
reoccur 1
repeatedly 1
reproductive 1
resistance 1
resources 1
responsible 1
rest 1
resulting 1
returns 1
reverts 1
said 1
salamander 2
same 2
satire 1
satirical 1
science 1
scientists 1
seaman 1
second 1
section 8
sections 1
see 1
seems 1
seen 1
selfassuredness 1
separate 1
series 1
service 1
sex 1
sexuality 1
short 1
significant 1
single 1
skewers 1
skirmishes 1
slip 1
small 1
so 1
societal 1
some 1
son 1
source 1
space 1
speech 1
spread 1
starlets 1
story 1
stubborn 1
sumatra 1
superficiality 1
syndicate 2
takes 2
talks 1
targets 2
tensions 1
that 1
the 95
their 8
them 2
themselves 1
then 2
thenprevalent 1
theories 1
there 1
they 3
third 1
this 3
though 1
three 4
throughout 1
time 1
tiny 1
to 14
toch 2
tone 4
towards 1
turn 1
two 2
underestimating 1
unspecified 1
validity 1
van 2
various 1
war 3
way 1
we 1
what 1
when 1
who 2
will 5
with 5
work 1
world 2
writer 1
written 1
years 1
