3617997
/m/09q8cy
/m/09q8cy
Conn Iggulden
2004-01-05
{"/m/0mz2": "Alternate history", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 21
abandoned 1
above 1
acceptance 1
accidentally 1
acquiesces 1
across 1
admirably 1
africa 1
african 1
after 4
again 1
allies 1
alongside 1
also 3
among 1
an 1
and 42
another 2
antonidus 4
anyway 1
apart 1
appoint 1
approaching 1
are 3
arranges 1
arrive 1
as 9
asks 1
assassin 1
assault 1
assaulted 1
assist 1
associates 1
at 2
attacked 1
attacks 1
attempt 1
authorities 1
back 1
backing 1
be 2
before 7
begins 1
being 2
believes 1
better 1
between 1
body 1
born 1
briefly 1
brutus 7
but 1
by 6
caesar 1
calling 1
calls 1
campaign 1
can 3
captors 1
captured 1
cato 7
causing 1
child 1
cinna 1
ciro 1
city 3
close 1
coast 1
comes 2
command 5
commits 1
conducting 1
confront 2
cornelia 6
crassus 5
crisis 1
crucial 1
crushed 1
culprits 1
daughter 4
daughters 1
death 2
decides 1
decision 1
declaring 1
defeat 1
defying 1
delay 1
delight 1
delivering 1
demand 1
demands 2
denounces 1
despite 3
destroyed 2
destroys 1
destruction 1
detained 1
dictator 1
discovers 2
down 2
dying 1
each 1
end 1
enter 1
escape 1
estate 4
even 1
eventually 3
executed 1
exiled 1
fares 1
father 2
fathers 1
feeling 1
fight 1
finally 1
find 1
finding 1
finished 1
first 2
flares 1
followers 1
for 6
forbidden 1
force 1
forces 3
forcibly 2
formed 1
forming 1
fort 1
forts 1
found 2
friends 1
friendship 1
from 2
further 1
fury 1
gaius 1
galley 2
garden 1
gathers 1
general 2
given 1
gladiator 1
gradually 2
greece 3
grew 1
griefstricken 1
hand 1
has 2
he 9
head 2
heavily 1
her 7
high 1
him 4
himself 4
hires 1
his 25
hitandrun 1
hoard 1
home 3
honour 2
household 2
however 2
huge 1
husbands 1
ignored 1
in 24
increases 1
increasingly 1
indecision 1
infighting 1
influence 1
inhabitants 1
injury 1
into 2
involvement 1
is 11
it 2
its 1
itself 1
jealous 1
journey 1
julia 2
julius 29
kill 1
killed 1
killer 2
killing 2
know 1
knowing 1
known 1
lack 1
land 1
landing 1
lead 1
leader 1
leads 4
learning 1
learns 2
left 1
legion 5
legions 3
liberating 1
life 1
list 1
locals 1
loved 1
lower 1
lying 1
macedon 1
major 1
makes 1
manage 1
manager 1
managing 1
many 1
marches 1
marching 1
marcus 1
marius 1
marriage 1
meanwhile 1
meet 1
meets 1
men 6
merged 1
misplaced 1
mithridates 6
money 1
most 1
mother 1
much 1
murder 1
murdered 2
murders 1
mytilene 1
named 1
names 1
narrowed 1
naval 1
necessary 1
negotiate 1
new 1
newfound 1
newly 1
no 1
north 5
not 1
of 30
oldest 1
on 9
one 6
only 1
opponent 1
or 1
order 1
orders 1
out 1
over 1
paid 2
part 1
perceived 1
performs 1
pirate 1
pirates 5
playing 1
poisons 1
pompey 9
position 1
powerful 1
pregnant 1
presses 1
price 1
prices 1
pride 1
primigenia 5
promises 1
proposed 1
protect 1
publicly 2
puts 1
ransom 3
ransoms 1
rebels 1
receives 1
receiving 1
reclaim 1
recover 2
recruits 2
reform 1
relationship 1
reluctant 1
remains 1
renius 1
renowned 1
resolves 1
responds 1
responsible 1
return 3
returned 1
returning 2
returns 2
revenge 2
revolt 2
richest 1
righthand 1
rising 1
risking 1
roman 3
rome 8
schemes 1
sea 1
search 1
second 1
see 3
sell 1
senate 6
sent 1
serious 1
service 2
servilia 2
serving 2
sets 1
several 2
ship 3
signed 1
skill 1
slave 2
slavery 1
small 1
soldier 1
son 2
spain 1
spartacus 2
standing 1
star 1
stealing 1
strikes 2
success 1
successfully 1
suffer 1
suffers 1
suicide 1
sulla 13
summoning 1
supporters 1
surviving 1
survivors 3
swearing 1
swears 1
take 1
tears 1
tension 1
tenth 1
term 1
than 1
that 1
the 57
their 3
them 1
then 2
this 2
though 1
threat 1
three 2
time 2
to 37
traced 1
track 1
tragedy 1
troops 1
trouble 1
trying 1
tubruk 6
two 1
under 2
until 1
up 3
upon 1
uses 1
vengeance 1
veterans 1
vindictive 1
visiting 1
volunteers 1
war 1
was 1
well 1
whatever 1
when 4
where 2
whereabouts 1
while 4
who 3
wife 2
will 2
with 17
withdraw 1
wolves 3
woman 1
wrath 1
wreath 1
yet 1
young 1
