3989586
/m/0bbb10
/m/0bbb10
Jeff Mariotte
2002-06-01
a 6
able 1
also 1
angel 1
arrives 1
as 1
assist 1
available 1
awaken 1
be 2
begins 1
by 1
cannot 1
cordy 1
darkness 1
delivery 1
discover 1
earth 1
eternal 1
exactly 1
fallen 1
for 1
gunn 1
have 1
he 2
him 1
horrifying 1
humankind 1
humans 1
if 1
in 2
instantly 1
into 2
investigate 1
is 3
it 1
leaves 1
like 1
likely 1
magickshop 1
may 1
meanwhile 1
midst 1
might 2
nightmare 1
of 2
opens 1
other 1
over 1
owners 1
package 1
people 1
plot 1
plunge 1
research 1
rule 1
seems 1
sends 1
she 1
slumber 1
so 1
soon 1
special 1
spell 1
strange 1
struggle 1
struggling 1
such 1
that 3
the 2
they 1
to 5
uncover 1
vampires 1
victim 2
wes 1
wesley 3
which 1
who 1
with 1
without 1
