32242339
/m/0gy12vw
/m/0gy12vw
Fromm, Pete

14 1
a 6
abroad 1
after 1
allegiance 1
allows 1
also 2
and 4
apply 1
are 1
as 5
attitude 1
away 1
becomes 1
begins 2
benefits 1
best 1
but 1
canada 2
car 1
colleague 1
considered 1
daughter 1
develops 1
discovers 1
ditches 1
does 2
drive 1
dynamics 1
easygoing 1
embraces 1
end 1
enjoying 1
even 2
extended 2
fact 1
family 1
father 5
fathers 1
for 3
frequently 1
friend 1
friends 1
from 1
furthermore 1
gets 1
grows 1
guys 1
had 2
hair 1
haircut 1
has 1
he 1
her 20
herself 1
him 1
house 1
image 1
imagined 2
in 4
is 10
keeps 1
kenny 2
left 1
lenience 1
license 1
lucy 2
makeup 1
marriage 1
masculine 1
months 1
more 2
mother 4
move 1
much 1
narrator 1
not 3
of 3
on 2
one 1
other 1
out 1
parents 1
pine 1
previously 1
proactively 1
protagonist 1
provided 1
realise 2
realises 2
relationship 2
romance 1
satisfaction 1
seeks 1
selfconfessed 1
separated 1
sexual 1
sexuality 1
she 16
solid 1
stays 2
tested 1
than 1
that 5
the 3
there 1
tidy 1
to 7
tomboy 1
too 1
toyboy 1
tune 1
turns 1
type 1
typical 1
void 1
well 1
when 4
with 8
works 1
young 1
