2437918
/m/07d08b
/m/07d08b
Boris Strugatsky

13 1
13yearold 1
2147 1
2160 1
a 18
able 2
about 3
act 1
affected 1
after 1
again 1
ago 1
alexander 1
alien 3
aliens 1
allowed 2
allows 1
an 5
ancient 1
and 21
another 2
antennae 3
any 2
anyone 1
apparent 1
apparently 2
appears 2
approaching 1
are 3
ark 12
arrival 1
arrives 1
arriving 1
as 14
assume 2
assumes 1
assuming 1
at 1
auditory 1
avoid 1
avoids 1
baby 1
back 2
base 8
be 5
because 1
becomes 1
begins 1
behavior 1
behind 1
between 1
board 1
boy 4
breakfast 1
built 2
but 3
by 4
cannot 1
canyon 1
carefully 2
carries 1
changed 1
child 1
civilization 1
closed 1
colonists 2
comes 1
communicate 1
communication 1
conclude 1
concluded 1
condition 1
conflict 1
connection 1
consists 1
construction 3
contact 4
contacting 1
contacts 2
control 1
cry 1
crying 2
decided 1
decisions 1
demonstration 1
describes 1
describing 1
destroy 1
did 2
direct 1
disappeared 1
discovered 3
discovers 1
discovery 1
disputed 1
distant 2
do 2
does 2
down 1
duty 1
earth 3
ecologist 1
either 1
emergency 1
epilogue 1
er2 9
establish 2
evacuate 1
ever 1
exchange 1
exhibit 1
exhibits 1
exploration 2
explorers 1
failure 1
female 1
few 1
figure 1
find 1
first 1
fix 1
flashlight 1
follow 1
following 2
for 8
foster 1
found 1
from 4
frustrated 1
function 1
gennady 1
get 1
giant 1
give 1
given 1
glumova 2
go 1
gorbovsky 3
grandfather 1
had 2
hallucination 1
hallucinations 1
has 1
he 10
hears 2
heavily 1
help 1
hence 1
him 7
himself 2
his 8
hope 1
hours 1
however 5
human 3
humans 13
identifies 1
if 3
ignores 1
immediately 1
in 5
infants 1
informs 1
insectlike 1
interest 1
interior 1
intimidation 1
into 2
is 16
it 10
its 2
just 1
kid 10
komov 6
lack 1
last 1
leader 1
leads 2
leave 5
leaves 3
left 1
leonid 1
levitates 1
likely 1
local 1
locate 3
log 1
lose 1
made 1
marialuisa 1
maya 3
meanwhile 1
megaforms 8
members 3
mention 1
message 1
might 1
mission 3
mixture 1
moment 1
moreover 1
morning 2
most 2
mountain 1
movements 1
much 1
name 1
named 2
negotiator 1
newborn 1
newly 1
nickname 1
night 1
no 2
not 6
novel 4
now 1
obvious 1
of 31
official 1
on 10
one 3
only 1
orbital 2
orbiting 1
other 1
others 2
out 2
outside 1
over 3
oversee 1
pant 1
parents 1
party 1
people 1
permanent 1
piere 5
pilgrim 3
pilots 2
planet 3
pleading 1
popov 12
portable 1
possible 3
premises 1
prepare 1
prevent 1
proceed 1
proceeds 1
programmed 1
progress 1
project 2
promise 1
psychological 1
psychosis 1
purpose 2
question 1
quickly 1
race 3
raised 1
range 1
rather 1
read 1
recalled 1
receive 1
reflects 1
related 1
remaining 1
remains 1
reply 1
report 2
responsibility 1
rise 1
robots 3
routine 1
russian 2
satellite 3
saw 1
scientists 1
scout 1
see 2
segmented 1
semyonov 4
semyonova 1
sends 1
set 1
several 1
she 1
ship 1
short 1
shot 1
should 1
shura 2
since 1
site 1
smoothly 1
some 1
somebody 1
soon 3
sound 1
source 2
spaceship 4
stanislav 1
start 1
started 1
stops 2
story 2
strange 1
study 1
suddenly 2
surroundings 1
symptoms 1
take 1
takes 2
talk 1
talks 1
team 4
teammates 1
teams 1
technician 1
tell 2
tells 1
that 14
the 114
their 3
them 3
themes 1
there 3
they 9
this 5
through 1
times 1
title 1
to 35
told 1
too 1
track 2
traits 1
transmission 1
transmitter 4
tries 2
try 1
turns 1
twelve 1
two 2
understand 1
unfit 1
use 1
vandehuze 1
video 2
visits 1
voice 1
walks 1
wanderers 2
want 2
wanted 1
wants 1
was 5
were 1
whether 1
while 2
wife 1
will 3
with 10
work 2
working 1
wreckage 2
yakov 1
years 1
you 1
