7533533
/m/0264m0m
/m/0264m0m
Sharon Shinn
1999-05-01
1 1
17 1
18 1
2003 1
2004 1
a 2
able 1
above 1
accessed 1
ace 5
actual 1
against 1
ago 1
alleluia 1
although 1
an 1
and 3
angel 1
angelica 1
angels 3
angelseeker 1
archangel 2
before 1
believed 1
book 1
books 5
built 1
by 1
called 3
capable 1
colony 2
concept 1
deity 1
established 1
factions 1
fight 1
files 1
first 1
forces 1
forgotten 1
fourth 1
generations 2
genetically 1
in 1
is 2
it 2
jacobites 2
jehovah 2
jovah 1
keep 1
know 1
modified 1
novel 1
now 1
of 3
ones 1
only 1
orbiting 1
over 1
people 1
performing 1
planet 1
power 1
provide 1
rebel 1
religious 1
right 1
samaria 2
series 1
services 1
set 1
ship 2
spaceship 1
supplies 1
the 13
their 1
these 1
this 1
to 3
tones 1
truth 1
vocal 1
want 1
was 5
were 2
who 1
wish 1
