24245696
/m/07s867y
/m/07s867y
Jonathan Edwards
1765

against 1
all 1
alone 1
an 1
and 3
are 1
argue 1
argues 1
at 1
being 1
but 2
chief 1
claimed 1
comes 1
conclusion 1
continues 1
created 1
creation 1
day 1
discusses 1
edwards 4
end 2
ends 2
extension 1
for 2
forth 1
from 1
glory 2
god 5
happiness 5
happy 1
his 2
how 1
human 3
idea 1
in 2
instead 1
is 2
like 1
magnification 1
name 1
no 1
not 1
of 4
own 1
people 1
puts 1
reason 1
same 1
since 1
that 5
the 8
then 1
there 2
they 1
to 1
true 2
ultimate 1
virtue 1
was 2
which 1
without 1
world 2
