5078339
/m/0d1qdq
/m/0d1qdq
Don Freeman
1968
{"/m/016475": "Picture book", "/m/0dwly": "Children's literature"}
a 8
after 2
always 1
and 10
around 1
arrives 2
at 1
back 2
bank 1
bear 3
bed 1
beds 1
before 1
book 2
button 3
buttons 1
buy 1
buys 1
by 1
closes 1
comes 1
corduroy 3
day 2
decides 1
declines 1
department 2
displayed 1
down 1
each 1
embarks 1
ends 1
evening 1
eventually 1
falls 1
find 1
finds 2
found 1
friend 1
from 2
furniture 1
girl 1
goes 1
guard 1
had 3
hard 1
he 4
her 3
him 2
himself 1
his 2
home 1
however 1
hugging 1
in 5
including 1
is 4
it 2
leave 1
lisa 2
making 1
mattress 1
mattresses 1
missing 3
money 2
more 1
mother 2
named 2
never 1
next 1
noise 1
notes 1
of 2
on 3
one 3
other 1
overalls 1
piggy 1
place 1
pulls 1
puts 1
saying 1
seen 1
sews 1
she 3
shelf 1
shoulder 1
spend 1
spots 1
store 4
story 1
strap 1
teddy 1
tells 1
that 3
the 15
them 1
they 2
thinking 1
to 3
toy 1
trip 1
upstairs 1
wanted 1
willing 1
with 3
