2824720
/m/0851s4
/m/0851s4
Willa Cather

a 18
abandoned 1
about 1
advises 1
afraid 1
after 3
alaska 2
alexandra 12
alone 2
also 1
amde 2
and 25
announces 1
appendix 1
approval 1
are 6
as 2
at 3
back 2
barely 1
bears 1
bedraggled 1
been 1
before 2
begins 1
beneath 1
bergson 2
bergsons 1
best 1
better 1
between 1
bodies 1
book 1
both 1
bought 1
boy 1
brings 1
brother 1
brothers 4
brought 1
but 4
buy 1
by 3
campus 1
can 3
carl 8
chapters 1
chicago 1
church 1
city 2
clean 1
climbed 1
college 1
come 1
comes 1
confess 1
crazy 1
day 3
death 1
decide 1
decides 3
determines 1
died 1
dies 1
discover 1
discovers 1
divided 2
do 1
down 1
downwards 1
dreams 2
drought 1
during 1
dying 1
each 1
earlier 1
embrace 1
emil 12
ending 1
error 1
except 1
failed 2
fair 1
fall 1
family 1
farm 5
farms 2
father 2
feels 1
finds 3
first 1
fitfully 1
five 1
fiveyearold 1
flirtatious 1
for 11
frank 4
french 1
friend 2
from 7
general 1
getting 1
goes 2
gone 2
goodbye 1
growing 1
had 1
hanover 1
hard 1
has 8
have 3
having 1
he 13
her 9
him 3
his 2
hogs 1
home 1
hopes 1
horse 1
hours 1
how 1
husband 1
ill 1
illicit 1
in 11
incarcerated 1
inheritance 1
into 4
is 15
it 2
ivar 3
job 2
john 1
just 1
keep 1
kiss 1
kitten 2
land 1
landowners 1
last 1
later 4
law 1
leading 1
leave 3
leaves 1
leaving 3
lee 1
left 2
lincoln 1
linstrum 3
linstrums 1
little 1
longer 1
looking 1
lou 3
love 1
man 1
marie 9
married 2
marry 3
mexico 2
michigan 1
more 1
mortgaging 1
most 1
mother 1
mrs 1
mulberry 1
mysterious 1
nebraska 1
neighbor 1
neither 1
next 1
no 2
nor 1
not 1
note 1
notices 1
now 3
numerous 1
occasional 1
occurred 1
of 2
off 2
older 1
omaha 2
on 3
one 1
oscar 3
parts 1
passionate 1
pole 1
polite 1
prison 1
problem 1
promises 1
properly 1
prosperous 1
rainstorm 1
realize 1
receives 1
recognizing 1
relationship 1
released 1
resentful 1
result 1
retrieves 1
returned 1
returns 1
rich 1
run 1
ruptured 1
same 2
say 1
saying 1
says 1
school 1
search 1
see 2
seen 1
several 1
shabata 1
she 12
shoots 1
sixteen 3
sleeps 1
son 1
speak 1
speaking 1
spends 1
stay 2
stops 1
store 1
surprised 1
suspect 1
talks 2
telegram 1
telegraph 1
textual 1
than 1
that 5
the 18
their 5
them 3
then 3
there 2
they 9
thinks 1
thirteen 1
this 2
three 1
time 2
to 21
too 1
tovesky 1
toward 1
town 1
tree 1
two 1
unconcerned 1
university 1
unnumbered 1
until 1
up 2
upon 1
value 1
villages 1
visit 3
visiting 1
visits 2
walks 1
want 1
wants 1
way 1
what 2
when 1
where 2
which 2
while 2
white 1
who 3
whom 2
will 2
windy 1
winter 1
wishes 1
with 6
work 1
years 6
young 2
