5871920
/m/0fb2p2
/m/0fb2p2
Daniel Pinkwater
1983-03-01
a 1
aka 1
allnight 1
along 1
an 1
and 4
another 1
as 1
assortment 1
at 2
aufzoo 1
back 1
beanbender 1
beer 1
bentley 1
blueberry 1
bongo 1
boredom 1
caught 1
criminal 1
dying 1
foil 1
from 3
galt 1
gang 1
garden 1
genghis 1
genius 1
getting 1
go 1
going 1
greatest 1
hanging 1
harrison 1
he 1
help 1
high 1
his 1
home 1
house 1
inventor 1
involves 1
is 1
khan 1
late 1
lower 1
matthews 1
meet 1
meets 1
movie 2
ms 1
night 1
north 1
oddballs 1
of 7
on 1
orangutans 1
out 4
park 1
places 1
rat 1
saunders 1
scheme 1
school 1
selfproclaimed 1
snark 1
snarking 2
sneaking 2
story 1
street 1
student 1
such 1
suffering 1
teenager 1
the 10
theater 2
they 3
to 4
told 1
trained 1
until 1
usual 1
usually 1
verge 1
viewpoint 1
walter 1
way 1
which 1
while 1
winston 1
without 1
world 1
your 1
