12063081
/m/02vnl87
/m/02vnl87
Frederik Pohl
1999-07
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 2
able 3
aboard 1
about 3
again 1
against 1
agree 1
alien 1
aliens 2
all 1
already 1
although 2
american 1
an 2
and 12
are 6
as 1
asked 1
assist 1
aware 2
back 1
because 1
before 1
beloved 8
between 1
bluff 1
by 1
can 1
captured 1
collects 1
coming 1
confrontation 1
contact 2
cut 1
dannerman 6
dealing 1
defend 1
discovers 1
do 1
earth 3
ends 1
for 2
former 1
friends 1
from 5
future 1
gas 1
gently 1
government 2
have 1
having 1
he 7
help 1
his 5
home 1
horch 3
however 1
humanity 2
humans 1
implant 1
in 4
infiltrate 1
information 3
initial 1
interrogated 1
interrogators 1
involved 1
is 5
it 1
leader 1
leaders 7
learns 1
looking 1
make 1
masters 1
methane 1
more 2
must 1
nations 1
not 3
of 9
off 1
on 2
one 2
opportunity 2
ordeal 1
other 1
placed 1
plan 1
planets 1
pockets 1
possession 1
practice 1
precautions 1
prepare 1
prepares 1
preparing 1
presents 1
president 1
previous 1
prisoners 1
recovers 1
release 1
representatives 1
return 2
sees 1
serve 1
so 1
species 1
standard 1
states 1
stealth 1
stealthed 1
strategy 1
submarines 3
submit 1
survived 1
taking 1
technology 2
than 1
that 4
the 26
their 2
them 2
themselves 1
they 4
this 1
through 1
to 14
translation 1
translator 1
undersea 1
united 2
unleash 1
up 1
war 1
warn 1
way 1
when 1
while 1
will 1
with 3
world 1
