896330
/m/03mr1s
/m/03mr1s
Alastair Reynolds
2001
{"/m/03lrw": "Hard science fiction", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/05hgj": "Novel"}
a 7
advanced 1
alien 1
an 1
and 4
antiques 1
argent 1
aristocratic 1
arrives 1
as 1
at 2
avenge 1
band 1
been 1
begins 2
belt 1
both 1
canopy 1
chaos 1
chasm 4
city 4
civilization 1
clever 1
client 1
come 1
committed 1
crimes 1
death 1
dense 1
depths 1
descended 1
desolation 1
diorama 1
discover 1
edge 1
experiencing 1
expert 1
few 1
find 1
flashbacks 1
for 2
forest 1
former 1
founder 1
framed 1
from 2
gas 1
glitter 1
habitats 1
hands 1
has 5
haussman 1
havoc 1
he 3
heart 1
his 5
history 1
home 1
human 1
hundred 1
hunt 1
in 4
into 2
is 3
known 1
largely 1
life 1
melding 2
melted 1
midst 1
milehigh 1
mirabel 2
more 1
most 1
mostly 1
mystery 1
named 1
nanotech 1
noble 1
of 14
only 1
orbital 1
originally 1
people 1
plague 3
plume 1
postmortal 1
prenanotech 1
prey 1
primitive 1
reduced 1
reivich 2
remains 1
revered 1
reviled 1
rust 1
security 1
seeks 1
shapeshifting 1
sky 2
skyscrapers 2
slum 1
spanning 1
sparkling 1
squalor 1
survivors 1
system 1
tanner 3
ten 1
than 1
that 2
the 18
this 1
thought 1
thousand 1
throughout 1
to 7
unravel 1
virus 1
virusinduced 1
voice 1
what 1
who 2
wife 1
world 1
wreaked 1
written 1
yellowstone 1
