646246
/m/02_5zg
/m/02_5zg
John Boyd
1968
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 12
agitator 1
also 2
alternate 1
although 1
an 2
and 4
another 1
army 1
assembled 1
at 1
became 1
becomes 2
before 1
by 1
castebased 1
central 1
century 1
character 1
christ 1
cross 1
crossbow 2
crucifixion 1
defeated 1
deported 1
discovers 1
dystopian 1
empire 1
entering 1
established 1
eventually 1
fairweather 3
famous 1
first 1
forbidden 1
forms 1
future 1
given 1
haldane 1
has 1
he 7
helix 1
his 2
history 1
ii 2
in 6
interested 1
investigating 1
is 5
it 2
iv 1
jesus 1
killed 1
lasted 1
led 1
lived 1
mathematician 2
meets 1
near 1
never 1
not 1
obvious 1
our 1
overthrow 1
planet 1
poet 1
rebellion 1
relationship 1
religious 1
revolutionary 1
roman 1
rome 1
set 1
shortly 1
show 1
similar 1
so 1
society 3
son 1
story 1
subjected 1
symbol 1
that 1
the 6
theocracy 1
this 2
time 1
to 4
trial 1
twentieth 1
until 1
very 1
was 3
where 1
which 1
while 1
who 2
with 1
world 1
