7812244
/m/026dx5v
/m/026dx5v
Kit Pearson
1996
a 18
able 1
about 2
accept 1
accepts 1
act 1
advice 2
after 1
again 2
agrees 1
also 1
alternate 1
an 3
and 23
apartment 1
appears 2
are 1
arent 1
as 6
at 1
aunt 2
author 1
avid 1
away 1
back 2
be 1
befriends 1
beginning 1
begins 4
believe 1
believes 1
belonged 1
better 1
birthday 2
blacks 1
book 1
books 1
but 9
by 1
cal 2
came 1
can 2
cannot 2
care 2
cecily 9
chaos 1
children 2
clean 1
come 1
comes 1
comfortable 1
coming 1
conclusive 1
consists 1
continue 1
could 1
created 1
dating 1
dead 1
decent 1
decides 1
delighted 1
desperately 1
did 1
die 1
disappointed 1
discovers 2
do 3
doesnt 1
dream 3
dreams 1
each 1
ending 1
enjoy 3
enjoys 1
entire 1
eventually 2
ever 1
exact 1
exist 1
explains 1
face 1
fade 1
faded 2
fails 1
faints 1
families 1
family 6
familyby 1
fantasizes 1
feels 2
ferry 5
find 2
finds 1
first 1
for 6
forward 1
frequently 1
friend 1
friends 2
frustrated 2
fueled 1
gives 1
go 2
goes 1
great 1
has 2
have 1
her 21
herself 2
him 1
home 1
house 2
how 1
huge 1
idea 5
if 2
imaginary 1
imagined 1
in 7
inexplicably 1
insists 1
instantly 2
instead 1
into 1
irresponsible 1
is 14
issues 1
it 4
job 1
journey 1
just 2
kaldor 3
kaldors 8
keeps 1
know 1
knows 1
last 1
leave 1
left 1
life 8
literally 1
live 5
lived 1
lives 1
living 1
long 1
longing 1
made 1
make 2
man 1
maryrae 1
meanwhile 1
meets 1
member 2
mistake 1
mistreats 1
moment 1
months 1
moon 1
mother 3
move 1
moves 1
much 2
must 1
mysteriously 1
name 1
named 1
never 1
new 1
next 1
normal 1
not 4
nothing 2
novel 2
now 2
of 10
often 1
on 7
one 1
or 1
originally 1
out 2
party 1
pass 1
past 1
perfect 3
play 1
presence 1
properly 1
pull 1
quantity 1
quickly 2
rae 8
reader 1
reads 1
real 2
refusal 1
refusing 1
relationship 1
remains 2
remember 1
restless 1
returns 1
saw 1
see 1
sending 1
settle 1
several 2
shadowy 1
sharon 4
she 29
simply 2
sister 1
skips 1
slums 1
so 3
spirit 1
stage 1
stands 1
starts 1
stone 1
stunned 2
suddenly 1
sympathizes 1
take 1
taking 1
tenth 1
that 13
the 29
them 1
then 2
theo 29
there 3
they 4
this 3
thrown 1
to 23
together 4
too 1
tries 1
unhappiness 1
until 1
up 4
upset 1
vancouver 2
victoria 5
view 1
wakes 2
weeks 1
were 1
when 4
which 1
while 4
who 2
will 3
wish 1
wishes 1
with 13
wondering 1
work 1
wrong 1
wrote 1
young 1
