13992977
/m/03cqf69
/m/03cqf69
Richard Laymon

a 7
and 4
apparently 1
are 1
area 1
around 1
as 1
bass 1
begins 1
bend 1
body 1
by 1
california 1
called 1
characters 1
complicated 1
county 1
couple 1
crime 1
daughterinlaw 1
day 1
dead 1
dealer 1
decapitated 1
deputy 1
discovered 1
drug 1
engaging 1
events 1
faye 1
from 1
girlfriend 1
his 2
hodges 2
homosexual 1
husband 1
in 3
intention 1
investigate 1
involving 2
is 1
killer 1
lake 1
leads 1
main 1
man 1
mary 1
merton 1
next 1
novel 1
of 6
pac 1
place 1
primarily 1
pursuit 1
referred 1
revenge 1
river 1
romantic 1
running 1
rusty 1
scene 1
scheme 1
section 1
seen 1
series 1
sheriff 1
sierra 1
silver 2
story 1
takes 1
the 14
to 3
tryst 1
two 1
visiting 1
was 1
who 1
with 2
woman 3
young 1
