28112055
/m/0cm84q3
/m/0cm84q3
Erin Hunter

{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 10
about 3
adventure 1
after 1
against 1
all 1
ambush 1
and 34
angry 1
another 1
anyone 1
anything 2
are 7
around 2
as 3
ask 1
at 1
attack 2
attention 1
away 3
back 4
barley 19
barn 9
battle 2
be 1
blood 1
bloodclan 1
book 1
brothers 2
but 4
by 1
can 1
care 1
carry 1
cats 1
chickens 1
claim 1
claiming 1
claims 1
clan 2
comes 1
continues 2
day 2
depart 2
do 3
doesnt 2
dogs 2
doing 1
dont 2
drive 3
driving 1
drove 1
during 1
enough 1
even 1
everyone 2
everything 2
far 1
farewells 1
farm 2
farmer 1
finally 2
finding 1
finds 1
fire 1
firestar 7
follow 1
for 5
friend 1
from 3
gathering 1
get 1
gets 1
given 1
go 4
goes 2
good 1
got 1
had 1
handle 1
have 1
he 4
heart 1
help 6
his 3
home 2
hoot 8
how 1
hunt 1
in 11
is 1
isnt 1
it 5
jumper 8
killed 1
knowing 2
later 3
leader 1
leave 2
leaving 2
left 1
let 1
like 1
loose 1
lose 1
lot 1
loyalty 1
make 1
makes 3
making 1
mice 1
most 1
nap 1
need 1
next 1
night 1
noise 2
not 2
notices 1
noticing 1
of 11
on 2
once 1
one 1
only 1
order 1
ordering 1
out 9
outside 1
own 2
part 1
patrol 4
place 1
plan 4
prepare 1
previous 1
promises 1
quietly 1
racket 1
ravenpaw 18
ready 1
reclaim 1
reinforcements 1
retreat 1
return 3
rogues 9
saved 1
saying 1
says 1
sees 1
shows 1
sleep 1
so 1
some 1
squirrelkit 1
startled 1
stay 1
still 2
story 1
succeed 1
takes 1
that 10
the 39
their 7
them 1
then 4
they 17
this 1
three 1
thunderclan 4
thus 1
to 17
together 1
transpires 1
treating 1
trying 1
turns 1
until 1
up 3
wakes 1
walk 2
wanted 1
warrior 4
were 4
when 5
where 1
while 1
whole 1
whom 1
why 1
will 2
willing 1
with 5
without 1
wonders 1
work 1
works 1
wrecked 2
