17725634
/m/0479gf8
/m/0479gf8
Victor Appleton
1919
{"/m/03mfnf": "Young adult literature", "/m/08sdrw": "Adventure novel"}
a 5
accidental 1
airship 2
an 1
and 3
approached 1
are 1
brief 1
but 2
by 1
comes 1
communicate 1
company 1
competing 1
developing 1
due 1
engine 1
europe 1
events 1
father 1
firm 1
flight 1
flying 1
for 2
form 1
front 1
gale 1
germ 1
government 1
he 1
i 1
idea 1
in 4
include 1
infatuation 1
infuriates 1
inspiration 1
intends 1
inventing 1
is 6
join 1
kidnapping 1
lucrative 1
machine 1
manufacturer 1
mary 3
men 1
money 1
motion 1
mr 3
nestor 3
noise 1
of 6
offer 1
offered 1
on 2
onto 1
rages 1
refusal 1
representatives 1
salary 1
set 1
sets 1
silent 1
spark 1
states 1
still 3
swift 1
taking 1
technology 1
the 12
this 2
to 5
tom 7
totally 1
track 1
unable 1
uninterested 1
united 1
universal 1
use 1
war 1
ware 1
wartime 1
was 1
western 1
which 2
while 3
world 1
