549608
/m/02p00n
/m/02p00n
Robert Jordan
1993-10-15
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
1000 1
a 7
able 1
actions 1
adam 1
aes 2
after 6
afterwards 1
aiel 5
almeara 1
althor 1
ambush 1
an 3
and 14
andor 1
angry 1
appears 1
are 4
armies 1
arrival 1
arrive 1
artur 1
as 3
asmodean 3
at 3
attacks 1
attempting 1
attempts 1
aviendha 3
balefire 1
bandits 1
base 1
battle 5
battles 1
before 1
begins 1
behind 1
believing 1
both 2
burst 1
by 4
caemlyn 3
cairhien 2
can 1
caracarn 1
cauthon 1
chase 2
chasing 1
companions 1
couladin 1
crossed 1
damaged 1
damodred 1
day 1
dead 1
defeat 1
desperate 1
destroyed 1
destroys 1
died 1
distracts 1
do 1
doorframe 1
dragon 1
dragonsworn 1
driven 1
duel 1
elayne 1
eradicate 1
erasing 1
fall 1
falsely 1
far 1
figure 1
filled 1
finally 1
find 1
finds 1
finishes 1
fire 2
force 1
forsaken 3
from 2
furious 1
fury 1
gaebril 1
generals 1
go 1
goes 1
grabs 1
guiding 1
hands 1
have 1
hawkwing 1
he 5
head 1
him 3
his 1
in 10
is 6
jealousy 1
kill 1
killed 2
killing 1
kills 1
lands 1
lanfear 3
largest 1
leader 1
leading 1
leads 1
learning 1
left 1
lengthy 1
lord 1
masquerading 1
mat 4
meanwhile 1
meet 1
memories 1
moghedien 1
moiraine 2
morgase 1
numerous 1
nynaeve 4
of 13
off 1
one 1
opens 1
over 2
past 2
personally 1
pillaging 1
portal 1
power 1
prepares 1
presumed 1
queen 1
rahvin 6
rand 8
rebel 2
reborn 1
received 1
recognition 1
remembers 1
retreat 1
right 1
rising 1
salidar 1
saves 1
seanchan 1
second 1
sedai 2
shadow 1
shaido 4
she 2
shock 1
shortly 1
since 1
slept 1
small 1
so 1
some 1
sorts 1
spine 2
start 1
strike 1
telaranrhiod 3
terangreal 2
that 3
the 31
them 1
there 1
these 1
they 2
through 3
throughout 1
time 1
to 8
toman 1
topple 1
trakand 2
trap 1
travel 2
tremendous 1
troops 2
two 1
undertook 1
unknown 1
until 1
use 1
used 1
using 1
waste 1
well 2
westland 1
where 1
which 1
whilst 1
whitecloaks 1
who 2
wielding 1
wins 1
with 8
world 1
years 1
