199932
/m/01cd57
/m/01cd57
Lois Lowry
1993
a 9
accept 2
adulthood 1
again 1
age 1
all 1
an 3
ancient 1
and 8
appearance 1
are 1
as 4
at 1
available 1
baby 2
be 2
been 4
before 1
behavior 1
behaviors 1
beyond 1
book 1
boundaries 1
boy 3
burden 1
but 1
by 1
can 1
closest 1
cold 1
color 1
community 8
control 1
convince 1
died 1
drained 1
during 1
eccentricities 1
elsewhere 1
emotion 1
endure 1
entirely 1
escape 1
events 1
everyone 1
everything 1
exposed 1
family 1
father 1
few 1
flee 1
focuses 1
footage 1
for 6
forced 1
formerly 1
freedom 2
freezing 1
from 2
gabriel 1
giver 4
guidance 1
had 4
happier 1
have 2
he 5
hears 1
heavilyguarded 1
hed 1
help 1
him 1
his 1
hold 1
how 2
hunger 1
immaculatelyorganized 1
in 5
inability 1
including 1
informs 1
inhabitants 1
injecting 1
intentions 1
involving 1
is 6
it 2
its 1
jonas 8
just 1
keeper 1
known 1
land 1
late 1
living 1
located 1
mandatory 1
may 2
means 1
memories 3
memory 3
months 1
must 3
named 2
nearing 1
night 1
now 1
nurturer 1
of 16
older 1
on 1
once 1
opposed 1
option 1
or 1
other 1
outlawed 1
own 1
pain 2
pains 1
pair 1
past 3
personality 1
place 1
poison 1
population 1
position 1
prior 1
received 1
receiver 3
receiverofmemory 1
receives 1
reference 1
remaining 1
residents 1
residing 1
restore 1
restored 1
role 1
run 1
runnings 1
sameness 1
secret 1
secrets 1
selected 2
sheltering 1
shocked 1
shocking 1
since 1
singing 1
so 2
society 1
standards 1
start 1
starts 1
story 1
strict 2
strongly 1
stunning 1
system 1
taken 1
that 4
the 39
their 3
therefore 1
they 2
thinks 1
through 3
throughout 1
tightlyrun 1
to 11
together 1
town 1
transferred 1
true 2
twelveyearold 1
twin 1
under 1
unknown 1
up 2
utopian 1
utter 1
where 2
which 3
who 1
will 2
wisdom 1
with 2
world 3
yearn 1
years 1
