32817583
/m/0h3vp17
/m/0h3vp17
John Gordon
1968-10

a 6
across 1
after 1
aided 1
allies 1
an 2
ancient 1
and 8
anglia 1
any 1
apparent 1
are 1
arf 1
at 1
attack 1
attacked 1
becomes 1
believing 1
bill 2
black 2
buckle 3
by 6
cleverly 1
cost 1
countryside 1
curious 1
defeat 1
describes 1
determine 1
dog 4
east 1
elizabeth 2
experience 1
exploring 1
field 1
find 1
flight 1
followed 1
found 1
friend 2
friends 1
from 3
gift 1
girl 1
goes 1
golden 1
goodenough 1
green 2
guided 1
has 2
her 1
his 2
home 1
how 1
however 1
in 1
independentminded 1
is 6
it 1
its 1
jonk 6
key 2
large 1
leather 1
legend 2
local 1
magical 1
malevolent 1
man 3
master 1
men 1
minions 1
mysterious 1
named 1
nearby 1
needs 1
of 4
old 1
on 1
once 1
out 1
possesses 1
power 1
powers 1
rather 2
read 1
regain 1
relentlessly 1
rescued 1
riddle 1
sceptical 1
school 1
set 1
she 3
sinister 1
solve 1
soon 2
stalked 1
stonefaced 2
strode 1
teenage 1
terrifying 1
that 2
the 20
their 1
themselves 1
to 6
trio 1
trip 1
under 1
understanding 1
victory 1
warlord 3
where 1
whilst 1
who 2
wiltshire 1
winters 1
woman 1
woods 2
