4651123
/m/0cfhsm
/m/0cfhsm
Robert Cormier
1988
138 1
a 2
ability 3
acts 1
after 1
and 5
back 1
be 1
because 1
becomes 1
becoming 1
being 1
bewildered 1
boston 1
by 1
called 1
can 2
chilling 1
cruel 1
depressing 1
did 1
discovers 2
disgusting 1
down 1
downfall 1
drives 1
edge 1
evil 1
experiments 1
fade 2
fading 1
family 1
first 1
for 1
forgetting 1
forgiveness 1
from 2
generation 2
gift 2
had 1
has 1
he 4
hear 1
him 5
his 5
horrible 1
how 1
impacts 1
in 2
invisibility 1
invisible 2
is 3
it 1
learns 1
lives 1
monument 1
moreaux 1
much 2
nephew 1
nightmare 1
no 3
not 2
of 3
or 1
outside 1
over 1
overloads 1
passed 1
paul 4
possibilities 1
power 1
pushes 1
reader 1
secrets 1
see 1
sees 1
shocking 1
should 1
shows 2
so 2
some 1
soon 1
summer 1
term 1
that 2
the 9
then 1
there 1
things 1
this 2
thrilled 1
to 4
toward 1
town 1
turning 1
uncle 1
used 1
want 1
which 1
who 1
with 2
witness 1
world 2
young 1
