13833421
/m/03ckpn5
/m/03ckpn5
Josephine Tey
1949
{"/m/0lsxr": "Crime Fiction"}
13 1
146 1
147 1
15 1
181 1
20 1
21st 1
50ish 1
a 31
about 3
absence 1
accept 2
accepted 1
accomplice 1
account 1
actor 1
adopted 1
after 7
again 1
age 1
agonizes 1
agrees 1
airplane 1
alec 6
alex 1
alibi 1
all 4
allow 1
also 6
although 1
america 1
an 10
anarchy 1
and 39
anyone 1
apparent 1
appears 1
are 2
around 1
arrives 1
as 6
ashby 10
ashbys 6
ask 1
astonished 1
at 9
aunt 1
away 4
background 1
barrier 1
barring 1
be 8
beatrice 1
became 1
because 2
becomes 1
bee 4
been 1
before 2
being 1
believe 1
between 1
bill 3
birthday 1
birthmark 1
bit 1
blacksmith 1
bodies 1
bomb 1
bones 1
bottom 1
brat 25
breed 1
brother 4
brotherinlaw 1
business 1
but 9
by 7
calls 1
can 3
cannot 3
centers 1
centuriesold 1
certain 2
change 1
character 1
charles 3
children 1
claim 1
clare 2
clearly 1
coach 1
coast 1
combined 1
comes 2
coming 1
competitions 1
complete 1
confused 1
consists 1
continuing 1
conveniently 1
convince 1
convinced 2
countryside 1
countrysquire 1
course 1
cousin 2
covertly 1
crash 1
crime 2
cripple 1
date 1
day 1
deal 1
debts 1
deceived 1
deceiving 1
decide 1
decides 1
dentist 1
destroyed 1
destroying 1
details 1
died 2
disappearance 1
disappeared 1
disclosure 1
displaced 1
distinguish 1
distinguishing 1
do 1
does 1
drank 1
during 1
easily 1
east 1
eight 2
elder 1
eleanor 4
ended 1
england 2
english 1
equestrian 1
errors 1
especially 1
estate 4
even 1
evidence 1
except 1
exceptionally 1
expert 1
explained 1
expose 1
fake 1
fall 1
families 1
family 12
far 1
farrar 2
feels 1
few 2
fictional 1
find 2
fine 1
first 2
fit 1
fond 1
for 4
found 1
foundling 1
four 1
frequently 1
from 1
fund 1
german 1
get 1
give 2
given 1
gives 2
going 1
gone 1
great 1
greatuncle 2
greets 1
guessed 1
guilt 2
guilty 1
had 1
has 4
have 2
he 32
heir 2
help 1
her 2
hidden 1
him 10
himself 2
his 15
home 2
horse 1
horseman 1
horses 4
hostile 2
how 2
however 1
idea 1
identifies 1
ignored 1
ii 1
impersonate 2
impersonating 1
impersonation 2
impostor 1
in 15
including 1
indecision 1
informs 1
injured 1
insistence 1
instead 1
intimately 1
into 3
investigate 1
invites 2
is 32
it 3
jane 2
job 1
just 2
keeps 1
kept 2
kill 2
killed 2
knows 3
large 1
latchetts 5
late 3
leaving 1
ledingham 2
left 2
lessons 1
let 1
lie 2
life 1
like 2
likes 1
little 1
loding 2
london 2
long 2
longdead 1
loosens 1
love 1
maintaining 1
make 1
makes 2
man 1
many 1
married 1
meets 1
memorabilia 1
men 1
minister 3
minutes 1
miss 1
missing 2
misstep 1
money 2
month 1
more 1
mother 1
mr 2
much 1
murder 4
murdered 2
must 1
name 2
near 1
nearly 1
needed 1
neighbors 1
neither 1
never 1
next 2
night 3
no 3
nora 2
not 6
note 1
now 3
of 28
off 1
office 2
old 1
older 1
on 6
once 1
only 1
openly 1
opinion 1
or 5
orphanage 2
other 1
others 1
out 2
over 2
own 4
part 2
particularly 1
party 2
patrick 29
pays 1
photographs 1
place 1
placed 1
possible 1
prizes 1
professes 1
profitable 1
proving 1
public 1
quarry 2
quickly 1
race 1
rage 1
ran 1
ranches 1
real 1
realizes 2
recently 1
recognizes 2
records 1
reflection 1
reluctant 1
remains 1
remembers 1
repeat 1
resemblance 1
resentment 1
return 1
returned 1
reveal 1
revelation 1
ride 3
rider 1
riding 1
romance 1
run 1
running 1
ruth 3
saddlegirth 1
same 1
sandal 4
says 1
scars 1
second 1
secondrate 1
secret 1
seems 1
sell 1
seriously 1
settles 1
seven 1
several 1
share 1
she 1
short 1
should 3
shows 1
silent 1
simon 21
simply 1
since 1
sister 1
sleeping 1
sneaks 1
so 2
sold 1
solicitor 1
solid 1
sometimes 1
son 1
soon 1
south 1
spending 1
spent 1
spinster 1
stable 1
stables 1
start 1
state 1
statement 1
story 3
stranger 1
street 1
strong 1
struggle 1
suicide 1
surprised 1
taken 1
takes 1
tell 1
tells 1
tempted 1
than 1
that 12
the 63
their 1
them 1
then 2
there 3
these 1
things 1
this 3
though 5
timber 2
time 2
title 1
to 27
too 1
train 1
trauma 1
tries 2
trust 2
turning 1
turns 1
tutoring 1
twentyone 1
twin 2
twins 1
two 3
unwilling 1
up 1
us 1
vanished 1
verifies 1
village 2
visit 2
waiting 1
walter 1
wandering 1
want 1
war 2
warning 1
was 4
way 1
weeks 3
were 1
western 1
what 1
when 2
where 1
whether 2
which 3
while 2
who 4
why 2
wife 1
will 6
willing 1
win 1
with 4
withdraws 1
without 2
wonders 2
work 1
worked 1
world 1
years 5
young 3
