3532247
/m/09jwbr
/m/09jwbr
Sloan Wilson
1958
{"/m/05hgj": "Novel"}
a 15
acknowledge 1
across 1
adult 1
adults 1
affair 3
after 2
again 4
age 1
alcohol 1
alcoholism 1
an 2
and 23
another 1
approval 1
are 3
arise 1
as 7
ask 1
asked 1
at 7
attached 1
attend 1
attends 1
avid 1
aware 1
away 1
back 1
bart 6
be 3
beach 1
become 1
becomes 1
begin 2
between 2
boarding 1
book 2
boy 1
breaks 1
brings 1
but 2
by 2
cannot 1
chemist 1
children 1
college 1
consummate 1
continues 1
cordial 1
correspondence 2
country 1
couple 1
culminates 1
custody 1
daughter 2
decides 2
deny 1
different 1
disappears 1
disapproves 1
divorce 2
doctor 1
during 2
each 3
enamored 1
ends 1
everyone 1
fall 1
family 3
feeling 1
feelings 1
find 1
florida 1
focuses 1
for 4
fortune 1
friend 1
from 2
girl 1
give 1
good 1
guarded 1
guests 1
has 3
hasper 1
he 3
helen 5
her 5
him 2
his 3
hitchhikes 1
home 2
honeymoon 1
hospital 1
house 1
husband 2
hypocritical 1
in 8
inappropriate 1
inform 1
inheritance 1
inn 2
into 1
invites 1
is 3
island 6
it 3
job 1
john 7
johnny 2
ken 12
landed 1
later 1
learns 1
letter 1
life 1
lifeguard 1
like 1
lives 1
lodging 1
longings 1
love 5
lovers 1
maine 1
margaret 1
married 1
millionaire 1
molly 7
motel 1
mother 1
not 1
noticed 2
of 7
old 1
on 2
once 1
one 3
onetime 1
other 4
over 2
owners 1
people 1
pine 1
pleased 1
plight 1
pregnant 1
rediscover 1
rendezvous 1
renew 1
research 1
resort 1
respective 1
romance 2
school 3
schools 1
sedation 1
see 1
selfsupporting 1
sent 1
she 1
shortly 1
so 1
social 1
son 2
soon 1
spending 1
spurns 1
stayed 1
steward 1
strata 1
summer 2
support 1
sylvia 11
take 2
teenage 1
tensions 1
tenure 1
terms 1
that 3
the 19
their 13
them 1
thereafter 1
they 5
this 1
through 1
time 2
to 13
todd 1
tries 1
turn 1
turns 2
twenty 1
two 3
under 1
urges 1
veterans 1
visit 1
was 1
wedding 2
were 1
when 1
while 5
who 2
whose 1
wife 1
with 4
work 1
working 1
writing 1
years 2
young 1
