12847697
/m/02x7f60
/m/02x7f60
Judith Krantz

{"/m/0d6gr": "Reference", "/m/02xlf": "Fiction"}
1 1
10000 1
a 24
about 1
accountant 1
actress 1
adventure 1
affair 1
after 1
aimlessly 1
air 1
all 1
along 1
also 2
america 1
amount 1
an 3
and 28
announcement 1
appearances 1
appoints 1
arbiter 1
are 2
aristocratic 1
around 3
as 2
at 4
attend 1
aunt 1
awaits 1
ballots 1
barbados 1
beauty 1
becomes 1
begs 1
bel 1
bestdressed 1
better 1
beverly 1
billy 11
body 2
born 1
boston 1
both 1
boutique 1
burglary 1
business 1
but 5
by 4
california 1
called 1
career 1
ceo 1
changing 1
child 1
climate 1
close 1
closest 1
clothing 1
college 1
colors 1
comfort 1
comprise 1
compulsion 1
concerns 1
couture 1
current 1
customers 1
debilitating 1
decides 1
design 1
developing 1
development 1
develops 1
dies 2
diminutive 1
director 1
discovers 1
discovery 1
distant 1
distinguished 1
dolly 3
dramatically 1
during 1
earn 1
edouard 2
effort 1
elegance 1
elegant 1
elliot 1
ellis 4
embarks 1
ends 2
enormous 3
enterprises 1
eventually 1
extended 1
family 3
far 1
fashion 1
father 1
feeling 1
filled 1
film 4
find 2
first 2
flamboyant 1
food 1
foolishly 1
for 6
former 1
fortune 1
french 1
frenchwoman 1
friend 3
friendship 1
from 4
gaining 1
gibbs 2
glamorous 1
goes 2
graduates 2
grows 1
guidance 1
guilt 1
happy 1
has 3
he 3
help 1
her 16
herself 1
high 1
hills 1
himself 1
hired 1
hires 1
his 1
homes 1
honey 2
hostess 1
house 1
housekeeper 2
however 1
ikehorn 2
impecunious 1
in 10
infancy 1
into 2
introduced 1
is 12
isolated 1
it 2
jessica 1
katharine 1
katie 1
labor 1
lastditch 1
leaving 1
left 1
life 2
liliane 2
list 1
live 2
lives 1
living 2
looking 1
looks 1
losing 1
love 1
luxury 1
maiden 1
major 1
making 1
manhattan 1
marriage 1
marries 1
meeting 2
meets 1
member 1
men 1
middle 1
mirrors 1
money 1
moon 1
mother 1
moves 2
must 1
name 2
never 1
new 4
next 1
nicknamed 1
no 1
not 1
novel 1
of 11
older 1
on 2
oneil 1
ones 1
only 1
open 1
orsini 1
oscar 1
oscars 2
over 1
paris 1
parisian 1
parties 1
photographer 1
pregnancy 1
prepare 1
price 1
producer 1
project 1
purpose 1
raised 1
realize 1
realizes 1
recluse 1
regular 1
relationship 3
relative 1
results 1
returns 1
romances 1
roommate 1
same 1
school 2
scientist 1
scruples 1
second 2
secretarial 1
seven 1
several 1
sex 1
sexual 2
she 17
shop 1
shows 1
skin 1
sleeps 1
so 1
some 1
soul 1
spend 1
spider 3
start 1
still 1
stored 1
story 2
stroke 1
strokes 1
stunned 1
style 2
subplot 2
subsequently 1
suffers 1
supporting 1
tabulated 1
teaches 1
than 1
that 5
the 28
their 3
them 1
then 3
there 1
time 2
to 17
transformation 1
true 1
turned 1
turns 1
two 1
ultimately 1
under 1
undergoes 1
unwilling 1
up 1
valentine 4
various 1
venerable 1
vicissitudes 1
vito 3
waterhouse 1
weight 1
what 1
when 2
where 2
while 1
whirlwind 1
who 6
wilhelmina 1
will 1
winthrop 1
with 6
won 1
work 1
world 1
years 2
york 2
young 1
