14292082
/m/03c_l_h
/m/03c_l_h
Mercedes Lackey
2007
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 14
abilities 1
able 3
absorb 2
act 1
acts 1
actually 1
adopt 1
air 1
alsie 1
also 4
an 2
and 13
apartment 1
arthur 1
as 2
attack 1
augustine 2
ballerina 1
ballet 1
barret 1
based 2
basics 1
be 1
beach 1
become 1
becomes 1
bed 1
beings 1
better 1
blackpool 1
both 1
but 2
can 1
cat 1
catches 1
chance 1
charge 1
chosen 1
convince 1
convinces 2
create 1
dancer 2
dancing 1
danger 1
desperate 1
despite 1
disbelief 1
discover 1
discovers 1
doing 1
dupond 1
elemental 4
england 1
english 1
enlists 1
experience 1
eye 1
fairy 1
finds 1
fire 1
fired 1
for 1
forn 1
from 1
good 1
had 1
hall 1
has 2
he 1
help 1
her 8
hightower 1
his 3
identities 1
identity 1
impersonation 1
in 6
injured 1
inspired 1
instructs 1
into 1
is 11
its 1
jeanmarie 1
jonathon 1
la 1
lead 1
like 1
mademoiselle 1
magic 2
magical 1
magician 1
maid 1
main 1
master 2
mckenzie 1
means 1
meantime 1
memoriesthe 1
migrate 1
mozart 1
music 1
named 1
near 1
nice 1
nigel 4
nina 7
ninette 8
no 2
of 12
on 9
opera 1
options 1
orchestra 1
owner 1
paris 1
parrot 1
partners 2
patron 1
people 1
performance 1
place 1
ploy 1
poet 1
poor 1
posing 1
powers 1
premier 1
previously 1
production 2
psychically 1
real 4
receives 1
rehearsals 1
reincarnation 1
reviews 1
russian 1
seduced 1
see 1
sensitive 1
set 1
she 4
shipwrecked 1
shipwrecking 1
show 1
some 1
stage 2
start 1
supposedly 2
surprised 1
suspects 1
take 2
taken 1
takes 1
tale 1
talk 1
tchereslavsky 2
teaches 1
that 4
the 31
their 1
then 2
there 2
they 1
this 1
thomas 3
threat 1
to 10
tomcat 1
troll 2
up 1
used 1
was 3
way 1
when 5
which 1
who 5
with 4
wolf 1
world 1
young 1
