17005035
/m/04159_b
/m/04159_b
David Goodstein
2004-02-02
{"/m/06mq7": "Science"}
21st 1
a 2
according 1
age 2
alternative 2
an 2
and 3
are 1
as 1
be 1
because 1
begin 1
begins 1
book 3
briefly 1
by 2
can 1
capacity 1
century 2
citing 1
civilization 2
coal 1
come 1
coming 1
concludes 1
continuing 1
crisis 1
dangerously 1
day 1
decline 1
demand 1
describes 1
effective 1
electromagnetism 1
end 3
ending 1
energy 2
even 2
exceed 1
find 1
for 2
fossil 2
fuels 2
future 1
gas 1
geology 1
gives 1
global 1
goodstein 1
he 3
hubbert 1
human 1
if 1
improve 1
in 1
industry 1
insecure 1
is 3
it 2
king 1
know 1
largest 1
live 1
m 1
mentions 1
natural 1
not 1
of 8
oil 4
opines 1
out 1
petroleum 1
precipitating 1
present 1
production 1
run 1
scientific 1
shortly 2
some 1
sometime 1
start 1
substituted 1
suppliers 1
supply 1
take 1
technologies 2
that 2
the 18
them 1
then 2
thermodynamics 1
this 1
time 1
to 7
unless 1
view 1
warning 1
way 1
we 2
will 6
with 1
without 1
work 1
