1681215
/m/05mybc
/m/05mybc
Frank Herbert
1988
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 5
about 1
achieving 1
after 1
age 1
an 4
and 1
any 1
appeared 1
artificial 1
as 4
ascension 1
at 1
away 1
been 2
being 4
bombing 2
breaks 1
build 2
but 1
by 6
called 1
clone 1
consciousness 1
control 3
controlled 1
core 1
crista 1
current 2
dictated 1
director 1
doesnt 1
down 1
dwarf 1
enforced 1
established 1
facteur 1
flattery 4
food 1
for 2
forces 1
frle 1
from 3
galli 1
grip 1
growing 1
has 4
have 1
he 1
heavy 1
held 1
hibernation 2
him 1
himself 1
his 2
holovision 1
humanlike 1
in 4
intelligence 1
intention 1
iron 1
is 6
it 1
keeps 2
kelp 5
kept 1
known 1
left 1
mac 1
memory 1
mental 1
new 1
not 1
of 6
omcs 1
on 1
one 1
orbiter 1
orbiting 2
ordinarily 1
organic 1
pandora 2
pandorans 1
part 1
plan 1
prisoner 1
produced 1
raja 4
rationing 1
remotely 1
resistance 1
run 1
security 1
several 1
shadowbox 2
she 3
ship 1
space 1
station 1
still 1
survivours 1
take 1
tanks 1
that 2
the 10
three 2
to 2
transmissions 1
twenty 1
underground 1
use 1
used 1
violently 1
voidship 1
water 1
will 1
years 1
