17347115
/m/043lgc3
/m/043lgc3
Steven Brust
1986
{"/m/06n90": "Science Fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 2
an 1
and 1
andor 1
are 2
around 1
as 2
at 3
away 1
beginnings 1
borders 1
born 1
brothers 1
by 1
center 1
central 1
choose 1
concerns 1
crumbling 2
desperation 1
destruction 1
discover 1
ending 1
faerie 1
family 1
feet 1
fenario 1
fenarr 1
four 1
fourhundred 1
fulcrum 1
giant 1
his 1
home 2
in 2
indulgent 1
into 1
is 5
joy 1
king 1
land 1
laszlo 1
line 1
makes 1
man 1
many 1
miklos 1
new 1
novel 1
occasionally 1
of 7
old 1
oldest 1
on 1
palace 1
place 1
prince 3
readdragaera 1
revolve 1
ruled 1
second 1
separate 1
serves 1
son 2
story 2
such 1
the 12
their 3
themes 2
things 1
third 1
to 2
two 1
unable 1
under 1
vilmos 1
way 1
we 1
which 4
year 1
youngest 1
