22347072
/m/05s_d26
/m/05s_d26
Jonathan Kellerman
2003
{"/m/0lsxr": "Crime Fiction"}
a 5
after 1
alex 6
allison 2
and 4
appeared 1
are 2
artists 1
at 1
be 1
between 1
book 3
broken 1
but 1
case 1
coach 1
contact 1
course 1
delaware 1
during 2
end 1
events 1
feelings 1
fell 1
fellow 1
first 1
for 1
going 1
gwynn 1
had 1
has 1
have 3
his 1
in 4
into 1
is 1
issues 1
man 1
meanwhile 1
met 2
moved 1
murder 2
murdered 1
named 1
novel 1
of 4
out 3
play 1
psychologist 1
pulled 1
quickly 1
relationship 3
remain 2
robin 4
same 1
seems 1
separated 1
serious 1
several 1
she 1
some 3
started 1
still 1
strong 1
suggest 1
that 2
the 11
their 1
there 1
tim 1
time 3
to 2
tour 1
towards 1
two 2
unresolved 2
upandcoming 1
vocal 1
was 1
which 3
while 1
who 2
with 3
yet 1
young 1
