4459510
/m/0c3mqg
/m/0c3mqg
Robert Silverberg
1991
a 3
about 2
addresses 1
after 1
against 1
all 1
an 1
and 2
are 2
artificial 1
at 1
be 1
both 1
by 1
colony 1
convicts 1
des 1
during 1
eaux 1
end 1
face 3
far 1
floating 1
flotilla 1
forbidden 1
forced 1
frla 1
future 1
human 3
hydros 2
in 2
inhabitants 1
inhabited 1
is 1
island 2
islands 2
it 1
journey 1
leading 1
learn 1
leave 1
live 1
man 1
means 1
more 1
natives 1
novel 1
ocean 1
of 9
offense 1
on 3
ordered 1
other 1
penal 1
place 1
planet 2
population 1
progeny 1
purpose 1
questions 1
religion 1
robert 1
seek 1
semimythical 1
ships 1
silverberg 1
sorve 1
takes 1
the 13
their 2
themselves 1
they 2
to 4
waters 2
what 1
whose 1
