7737689
/m/026bdff
/m/026bdff
Ashok Banker
2003
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
200year 1
a 26
ability 1
about 2
accomplish 1
across 1
after 5
against 1
air 1
all 5
allow 1
allowed 1
along 1
also 1
always 1
an 6
and 51
anger 1
announcement 1
announces 1
any 3
approval 2
are 7
arghya 1
argue 1
arrangements 1
arrested 1
arrive 1
arrives 1
arriving 1
arrows 1
as 11
ashram 2
aside 1
ask 1
asks 1
asura 1
asuras 1
at 10
atibala 1
attack 2
attacked 1
attacks 1
attempts 1
attend 1
attending 1
aware 1
away 3
ayodhya 13
back 1
backtoback 1
bala 1
band 1
banish 1
battle 2
battlefield 1
battles 1
be 7
bearface 1
beautiful 1
because 2
becomes 1
been 4
before 2
begins 2
begs 1
behind 1
being 4
beings 1
between 2
beyond 1
bharat 1
bharata 1
bhayanakvan 5
birthday 1
blood 1
bodies 1
body 2
book 1
both 4
bows 1
boys 1
brahmanic 1
brothers 2
brutally 1
but 9
by 14
call 1
can 1
cannot 1
capital 1
celebrate 1
celebration 1
champion 1
changes 2
city 5
claiming 1
claims 1
closed 2
come 1
coming 2
complete 1
completed 1
completely 1
completion 1
condition 1
conflict 1
considerable 1
continued 1
continues 1
coronation 1
country 1
court 3
crazed 1
crowd 1
crown 1
crowned 2
cryptically 1
cutting 1
dasaratha 10
day 1
days 2
decision 1
decreed 1
defeating 1
definitely 1
delay 1
demon 2
demons 1
demonstrating 2
describes 1
despite 1
destroy 2
destroyed 1
destroying 1
destroys 1
destruction 1
detailing 1
details 1
deva 1
devaastras 1
develop 1
dharmas 1
died 1
different 1
disappointed 1
dismembered 1
dispatched 1
distance 1
distracted 1
distracting 1
disturbance 1
divine 1
do 1
dreams 2
during 2
effect 1
effects 1
eldest 1
elite 1
encounter 2
encountered 1
end 2
endows 1
enraged 1
enter 2
entering 1
enters 1
entire 2
entirely 1
environment 1
equally 1
everyone 1
everything 1
evil 1
exactly 1
exists 1
explains 2
exposed 2
exposes 2
family 1
far 1
fatal 1
father 1
favor 1
fearful 1
feel 1
feels 1
few 1
filled 1
find 4
finishes 1
first 5
five 1
flees 1
flying 1
follow 1
followed 1
for 12
force 2
forcibly 1
forest 1
forgiveness 1
form 2
foul 1
frantically 1
from 9
frustration 1
fueled 1
full 1
fuming 1
gates 2
give 1
gives 1
goal 1
grant 1
granted 1
great 1
greatest 1
greet 1
grounds 1
grove 1
guard 2
guarding 1
guards 1
guilty 1
had 3
has 7
have 5
having 2
he 24
head 1
heads 1
height 2
hell 1
her 11
hermitage 1
him 6
hindu 1
his 19
holi 3
home 1
however 2
hundred 2
hunter 5
hurt 1
ignores 1
ill 1
illustrious 1
image 1
images 1
immensely 1
in 21
incensed 1
india 1
indian 1
inexplicably 1
information 1
informed 1
inhabit 1
inspects 1
interrogate 1
interrogated 1
interrupted 1
into 2
introduced 1
invade 2
invasion 1
is 28
it 6
jatayu 2
joining 1
kaikeyi 3
kalanemi 1
kama 1
kausalya 4
kill 4
killed 1
killing 1
king 5
kingdom 1
known 2
kosala 1
lakshmana 11
lanka 3
leader 1
leave 4
led 1
letting 1
level 1
like 1
limbs 1
location 2
locked 1
looks 1
lord 1
love 1
loved 1
lowcaste 1
lowest 1
maharaja 1
maharishi 1
mainland 1
make 1
makes 1
mankind 1
manthara 1
mantras 1
manu 1
mareech 2
marksman 1
marriage 2
martial 1
massive 2
matter 1
may 1
mayavic 1
meanwhile 5
met 1
minister 1
mithila 1
mockery 1
monsters 4
more 3
morning 1
mortal 1
most 3
mother 3
movement 1
moves 1
much 1
murdered 1
naked 1
narak 1
navy 1
nearby 1
necessary 1
needs 1
netherworld 1
new 1
next 1
nick 1
night 1
normal 1
not 3
now 1
number 1
of 51
off 2
on 4
one 2
only 6
or 1
order 1
other 1
out 5
over 1
own 1
pacified 1
pahadi 1
paid 1
palace 6
parade 1
past 1
peaceably 1
people 1
performing 1
permission 1
perplexed 1
person 1
personal 1
pieces 2
planet 1
plans 1
pleads 1
point 2
popular 1
portal 1
possessed 1
potential 1
power 6
powerful 2
powers 2
predicament 1
preparing 1
prescribed 1
prime 1
prince 2
prisons 1
proceeding 1
proceeds 1
pushing 1
put 2
qualms 1
queen 2
race 1
rage 1
rakshasi 2
rama 26
rape 1
rational 1
ravana 9
real 1
reality 1
realize 1
realizes 1
reasoning 1
reasons 1
receiving 1
refuses 1
regiment 1
remaining 1
remains 1
remove 1
replies 1
reporting 1
represent 1
resides 1
results 1
returned 1
reveals 1
revelers 1
revive 2
revived 1
riot 1
ripped 2
ritual 2
roars 1
room 1
royal 1
rudely 1
rules 1
runs 1
sacrifice 2
sages 1
saivite 1
sarcastic 1
satisfying 1
saved 1
saying 1
says 1
scene 1
second 4
seconds 1
seen 1
seer 2
separately 1
seven 3
shatrughan 1
she 5
shock 1
shreds 1
shudra 2
simple 1
simultaneously 1
since 1
sins 1
sister 1
sixteenth 1
skill 1
slices 1
small 1
so 1
soldiers 1
some 1
son 3
sons 3
speed 1
spend 1
spending 1
spent 1
spies 3
spurns 1
spy 1
stands 1
statement 1
states 1
stepped 1
stop 2
stops 1
story 1
strange 1
subahu 2
subcontinent 1
successor 1
sumantra 4
sumitra 1
sun 1
superstrength 1
surpanakha 1
tail 1
tailed 1
taken 1
tantrics 1
task 2
tataka 5
tells 6
terminally 1
than 2
that 27
the 119
their 6
them 7
then 2
theology 1
they 10
this 1
threatens 1
through 5
time 3
to 45
together 2
told 1
top 1
torn 1
towards 3
tower 1
towering 1
tracks 1
travel 3
travels 1
true 1
tutelage 1
two 5
unbeknownst 1
uncle 1
under 1
unison 1
unless 1
unscathed 1
up 1
upon 3
uproar 1
uses 1
utterly 2
vajra 1
vashishta 6
vehemently 1
vigil 1
vishwamitra 17
visit 1
visitor 1
vote 1
wait 1
waiting 1
walks 2
warriors 1
wars 1
wave 1
way 4
weapons 1
welcome 1
welcoming 1
were 2
when 2
where 3
which 9
while 4
who 10
whom 1
whose 1
wife 2
will 4
wipe 1
wiped 1
with 14
within 1
without 1
witnessed 1
woman 1
woods 1
words 1
worse 1
yagna 2
yaksha 1
year 1
yours 1
