3247527
/m/0912k5
/m/0912k5
Roland Smith
2004-12-27
{"/m/01hmnh": "Fantasy"}
a 9
about 3
actually 1
after 1
afterwards 1
also 1
an 1
and 31
animals 1
arrived 3
as 1
asleep 1
at 2
avoid 1
back 2
be 1
behind 1
believed 1
blackwood 10
boarding 1
body 1
but 4
butch 8
by 2
camp 1
captors 1
caring 1
catch 1
children 3
chimp 1
cleaning 1
clearing 1
climbed 1
collecting 1
collects 1
come 1
congo 3
contacted 1
cousin 1
crash 1
daughter 2
depart 1
different 1
dinosaur 1
dr 3
drop 1
egg 3
eggs 2
escaped 1
evil 1
exist 1
explained 2
extinct 1
feed 1
fell 2
find 2
fire 1
fly 1
for 1
forced 1
forgot 1
found 1
friend 1
get 1
girl 1
given 1
gone 1
grace 12
guy 1
had 4
hand 1
handed 1
has 1
have 2
he 1
helicopter 3
her 5
herself 1
him 1
his 3
how 1
hurried 1
in 7
information 1
into 2
is 2
island 1
it 1
journalist 1
kidnapped 2
knocked 1
lake 1
laural 1
laurel 3
leaving 1
lee 2
left 2
lost 1
luggage 1
man 1
marty 11
masalito 3
mccall 1
meantime 1
men 1
met 1
moklmbemb 4
must 1
needed 1
noah 1
note 1
number 1
of 4
ohara 1
oharas 1
on 4
one 1
out 3
over 1
parents 2
person 1
place 2
plane 1
portrayed 1
protect 1
put 1
rare 1
realized 1
realizes 1
rose 1
runaway 1
safe 1
said 1
saw 3
school 1
sending 1
setting 1
she 1
shed 1
shoot 1
shortly 1
signaled 1
skyhouse 3
some 1
spied 1
still 1
stole 1
stranded 1
supply 1
sweet 1
takes 1
team 1
that 3
the 26
their 4
them 4
they 4
thought 1
through 1
tied 1
tl 1
to 20
told 2
took 1
trail 1
travel 1
trees 1
tunnel 1
twins 3
two 1
uncle 1
unconscious 1
unique 1
until 1
up 3
upstairs 2
very 1
video 1
wait 1
was 3
went 4
were 3
what 1
when 1
where 1
while 2
who 1
wilderness 1
with 2
wolfe 7
