3979527
/m/0b9tcc
/m/0b9tcc
Mel Odom
2000-06-01
{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
a 6
actress 1
actually 1
an 1
ancient 1
and 5
angel 4
attackers 1
attempts 2
battle 1
believe 1
but 1
case 1
centuries 1
confused 1
continue 1
cordelia 2
cordy 1
discover 1
doyle 3
earlier 1
have 1
he 1
help 1
her 1
is 4
isnt 1
kill 2
knew 1
links 1
made 1
must 1
number 1
of 2
on 2
painful 1
pieces 1
plays 1
pleased 1
popular 1
put 1
real 1
relying 1
requests 1
resembles 1
seem 1
she 2
show 1
small 1
someone 1
starstruck 1
symbol 1
that 1
the 5
to 4
together 1
tv 1
two 1
tyler 1
vampire 2
viewers 1
visions 1
wealthy 1
while 1
whitney 3
