1299906
/m/04r11v
/m/04r11v
Christopher Moore

{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0246p": "Comic fantasy", "/m/0pym5": "Absurdist fiction", "/m/09kqc": "Humour"}
100 1
11 1
a 3
accidentally 1
addition 1
after 1
aged 1
along 1
and 3
angel 1
as 2
be 2
because 2
been 1
being 1
big 1
born 1
but 1
by 1
california 2
called 2
cambria 1
catch 3
characters 1
coast 1
complications 1
considerable 1
continue 1
cove 4
create 1
demon 1
described 1
distance 1
djinn 1
do 1
driving 1
easy 1
ever 1
fictional 2
for 1
forever 1
from 2
gave 1
get 1
has 3
he 7
hell 1
his 1
in 3
incantations 1
interactions 1
is 4
itself 1
later 1
lives 1
lizard 1
lost 1
luis 1
lust 1
may 1
melancholy 1
modeled 1
moore 1
named 1
necessary 1
not 1
novel 1
novels 1
obispo 1
of 7
pine 3
presumably 1
pursuing 1
repository 1
residing 1
revisited 1
rid 1
san 1
seems 1
servant 1
setting 1
several 1
since 2
so 1
stupidest 1
sur 1
the 9
their 2
them 1
then 1
thinks 1
this 1
to 5
town 3
townspeople 1
traces 1
travis 2
trying 1
unable 1
up 1
was 1
where 1
whereabouts 1
who 1
with 2
within 1
woman 1
yet 1
