14852135
/m/03g_45s
/m/03g_45s
Danielle Steel
1989-02-01
{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
30 1
a 7
after 3
although 1
amount 1
and 4
becomes 1
been 1
bernard 1
bernie 3
birth 1
california 1
cancer 1
character 1
child 1
children 1
department 1
develop 1
dies 1
enjoying 1
experiences 1
falls 1
fictional 1
fine 1
first 1
follows 1
forming 1
francisco 1
gets 1
given 1
has 1
have 1
he 1
her 1
his 4
home 1
in 4
is 2
jane 1
lease 1
left 1
life 3
little 1
live 1
liz 3
love 1
marrying 1
meets 1
mother 1
must 1
new 5
of 4
on 1
only 2
open 1
oreilly 2
outlook 1
plot 1
pregnant 1
promoted 1
recently 1
relationship 1
resident 1
responsibility 1
san 1
senior 1
sent 1
short 1
shortly 1
soon 1
store 2
take 1
the 3
their 1
throughout 1
time 1
to 5
town 1
two 1
vicepresident 1
when 2
who 1
with 3
wolff 2
york 1
