5767564
/m/0f3lfy
/m/0f3lfy
Dan Simmons
2005-06-28
a 1
actual 1
ada 1
all 1
and 6
are 1
as 1
begin 1
but 1
centered 1
centers 1
character 2
characters 1
converge 1
course 1
daeman 1
do 1
earth 1
end 1
europan 1
events 1
features 1
frame 1
from 1
greek 1
groups 2
harman 1
helen 1
hockenberry 2
humans 1
hyperion 1
iliad 1
in 2
instances 1
io 1
is 1
like 1
mahnmut 1
main 1
moravecs 1
much 1
narrative 1
not 1
novel 3
of 5
on 2
orphu 1
other 2
over 1
pasttense 1
presenttense 1
scholic 1
serve 1
simmons 1
specifically 1
stories 2
that 1
the 12
their 1
thirdperson 1
three 2
to 1
told 1
trojan 1
until 1
warriors 1
when 1
where 1
written 1
