12150258
/m/02vrf6n
/m/02vrf6n
Will Christopher Baer
1998-10-01
{"/m/05hgj": "Novel"}
11 1
a 6
actually 2
affairs 1
after 1
against 1
an 1
and 3
angry 1
attacker 1
baggie 1
bathtub 1
been 1
behind 1
breakdown 1
by 2
call 1
counter 1
death 1
denver 2
department 1
drugs 1
during 1
evades 1
expolice 1
finds 2
first 1
for 2
full 1
had 1
he 1
heroin 1
him 2
his 6
hotel 1
ice 1
if 1
in 2
information 1
institution 1
internal 1
is 1
jude 1
kidney 3
later 1
leaves 1
live 1
love 1
mental 1
missing 1
named 1
nervous 1
night 1
note 1
of 4
officer 1
on 1
out 2
phineas 3
picked 1
poe 1
police 2
prostitute 1
reads 1
recent 1
recently 1
removes 1
replaced 1
searching 2
secrets 1
she 1
suffering 1
that 2
the 4
to 2
tries 1
unit 1
unlock 1
up 1
want 1
was 1
while 2
who 1
wife 1
with 1
you 1
