478921
/m/02fdym
/m/02fdym
Douglas Adams
1979-10-12
42 1
a 14
able 1
about 3
abruptly 1
accompanied 1
activated 1
actually 1
after 2
against 1
alien 1
all 1
an 2
and 14
announced 1
answer 4
are 7
arrest 1
arrive 1
arrived 1
arrives 1
arriving 1
arthur 9
as 1
at 2
attacked 1
be 1
become 1
beeblebrox 1
been 2
before 1
begins 1
being 2
beings 2
benjy 1
book 1
brain 2
built 1
bulldozers 1
but 1
buy 1
by 9
bypass 2
calculate 2
calculation 1
called 1
chronically 1
commissioned 1
committed 1
completion 1
computer 2
contractors 1
creating 1
creatures 1
cut 1
decides 1
declines 1
deep 2
demolish 1
demolished 2
demolishing 1
demolition 1
dent 1
depressed 2
designed 2
destroy 1
die 1
discovered 1
diversion 1
do 1
drive 1
during 1
earlier 1
earth 6
end 1
ensues 1
escape 2
everything 1
execute 1
exist 1
explain 1
explains 1
fact 2
fail 1
fight 1
find 1
finding 1
five 1
for 5
ford 4
form 1
frankie 1
friend 1
from 3
front 1
galactic 1
galaxy 1
give 1
go 1
gold 2
group 3
had 5
half 1
has 1
have 1
he 2
head 1
hearing 1
heart 2
him 1
his 2
hitching 1
house 1
however 2
hyperintelligent 1
hyperspace 1
improbability 1
improbably 1
in 8
infinite 1
initially 1
intend 1
interior 1
into 2
is 11
it 6
just 1
keep 1
kidnapped 1
klaxons 1
known 1
lategeneration 1
latent 1
later 1
legendary 1
life 2
lift 1
like 1
linked 1
lunch 1
luxury 1
lying 1
magrathea 3
make 2
manufactured 1
marvin 2
meaning 1
mice 3
million 2
minutes 1
mouse 2
must 1
native 1
of 16
offer 1
officers 1
on 4
one 1
open 1
or 1
order 1
organic 1
others 1
over 1
paid 1
pair 1
pandimensional 1
pet 1
picked 1
planet 4
planets 1
poetry 1
police 1
powered 1
prefect 1
president 1
product 1
program 1
question 2
race 2
realize 1
regulations 1
rest 1
restaurant 1
result 1
robot 1
rumoured 1
searching 1
semicousin 1
separated 1
set 1
seven 1
ship 2
ships 1
since 1
skeptical 1
slartibartfast 2
so 1
something 1
space 1
spacesuits 1
stolen 1
suicide 1
suits 1
supercomputer 2
support 1
systems 1
taken 1
talking 1
ten 1
that 5
the 45
their 3
them 1
then 1
there 1
these 2
they 4
third 1
this 2
thought 2
thrown 1
to 22
tortured 1
tries 1
trillian 3
two 3
universe 3
unsatisfied 1
up 1
version 1
very 2
vogon 3
vogons 2
was 3
way 2
when 3
whereupon 1
which 5
while 1
who 1
with 3
worst 1
would 1
years 2
zaphod 4
