6234866
/m/0fy53x
/m/0fy53x


{"/m/02ql9": "Epistolary novel"}
a 5
an 3
and 6
another 1
appears 1
arbah 1
are 1
arrives 1
artist 2
as 2
be 1
begin 1
brought 1
changed 1
changes 1
come 2
comes 3
conclusion 1
correspond 1
created 1
cryptic 1
develops 1
ends 1
fear 1
feelings 2
fictional 1
figment 1
fin 1
for 2
forever 1
from 4
go 1
griffin 3
group 1
growing 1
has 2
he 8
her 4
him 3
his 6
however 1
if 1
illustrates 1
imagination 1
in 5
into 1
is 7
islands 2
it 1
katie 1
katin 1
known 1
life 2
like 1
living 2
london 1
loneliness 1
lonely 1
love 1
makes 1
met 1
moss 1
nature 1
never 1
not 1
of 3
offer 1
ominous 1
own 1
pacific 1
person 1
postage 1
postcard 2
postcards 1
presence 1
promise 1
quepol 1
realize 1
receives 1
reciprocates 1
regularly 1
rejecting 1
sabine 5
see 1
she 3
sicmon 1
small 1
soulmates 1
south 1
stamps 1
strohem 1
ta 1
that 4
the 5
these 1
they 1
though 1
to 9
true 2
two 1
typ 1
unaware 1
uncertainty 1
unhappy 1
until 1
up 1
when 1
who 2
will 2
with 2
woman 1
