8107843
/m/026rs3n
/m/026rs3n
Lance Parkin
2004
a 4
able 1
acquires 1
all 1
alternate 1
americanius 1
and 2
at 1
be 1
bracelet 2
cannot 1
centuries 1
conquest 1
course 1
cruel 1
diverged 1
empire 2
familiar 1
finds 1
for 1
from 2
further 1
germania 1
glorious 1
has 2
he 3
history 1
in 1
is 4
marcus 1
mysterious 1
nearly 1
new 1
no 1
of 2
on 1
out 1
path 1
permitted 1
regime 1
roman 2
romes 1
ruled 1
scriptor 1
strange 1
stranger 1
that 1
the 2
there 1
this 2
to 2
travel 1
twentyseven 1
when 1
where 2
which 1
with 2
worlds 2
