7533370
/m/0264lvf
/m/0264lvf
Sharon Shinn
1998
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
1 1
150 1
17 1
18 1
2003 1
2004 1
a 10
able 1
above 1
accompany 1
ace 5
after 4
again 2
agrees 1
ai 1
aid 2
aids 1
all 2
alleluia 13
also 5
although 1
amid 1
an 1
and 25
angel 2
angelica 1
angelico 4
angels 3
angelseeker 1
another 1
any 1
appease 1
archangel 10
arrive 1
as 17
at 5
attempts 1
base 1
batteries 1
battery 1
be 7
beast 1
because 2
become 2
been 1
before 2
begin 2
beginning 1
begins 2
being 1
believe 1
believes 1
bereven 1
better 1
book 1
books 6
budding 1
but 3
by 2
caleb 10
can 4
cannot 1
car 1
cast 1
causing 1
chases 1
chosen 1
circuitous 1
citing 1
club 1
college 1
colonists 1
commune 1
confirms 1
consulting 1
continue 1
continues 1
control 1
controlling 1
convince 1
convinces 1
correctly 1
could 1
crisis 1
current 1
damaged 1
danger 1
decides 2
declares 1
decreed 1
decrees 1
delilah 10
depart 1
departs 1
design 1
determine 1
device 2
devoted 1
died 1
directly 1
discovers 1
diversion 1
do 1
does 1
done 1
edori 3
effect 1
elevation 1
engineering 1
entertain 1
event 1
events 2
expedition 1
eyrie 3
fail 1
failing 1
fails 1
fall 1
falling 1
feel 1
feeling 1
files 1
find 2
finds 2
first 2
fix 1
fly 1
flying 1
follows 1
for 4
former 1
founds 1
fourth 1
friends 1
genuine 1
go 3
goes 2
great 1
ground 1
hagar 1
harsh 1
has 2
have 4
he 3
hear 2
heard 1
help 2
her 22
him 4
hopes 1
how 1
in 19
increasingly 1
injured 1
inserted 1
interface 1
interfaces 1
inventorengineer 2
inventorengineers 1
is 22
it 7
jehovah 3
jeremiah 3
join 1
journey 1
jovah 12
jumpstarts 1
just 2
killed 1
language 1
last 1
later 1
learning 1
learns 2
leave 1
leaving 1
left 1
life 1
lilah 1
located 1
locates 1
logs 1
longer 1
look 1
love 2
luminaux 2
machines 2
manages 3
managing 1
many 1
marry 1
may 3
meet 1
meets 1
mention 1
mount 4
mountain 1
much 2
music 2
must 3
name 1
names 1
need 1
nerves 1
never 1
new 1
no 3
noah 5
not 4
nothing 1
novel 1
now 1
of 17
off 1
old 3
on 2
once 1
one 2
only 2
oracle 3
oracles 1
originally 1
other 2
others 1
out 1
part 1
particularly 1
passed 1
patterns 1
performing 1
place 2
planet 1
political 2
possible 1
powered 1
powers 2
pressure 1
primitive 1
protest 1
provided 1
purpose 1
qa 1
quick 1
rapidly 1
reason 1
reasons 1
recently 1
references 1
refers 1
relief 1
remains 1
repair 2
resume 1
returnes 1
returning 1
returns 3
revealed 3
role 1
romance 1
route 1
samaria 1
sammorah 1
samuel 1
search 1
searching 2
see 1
seeking 2
selfpropelled 1
series 1
session 1
set 1
several 2
she 19
ship 1
ships 1
short 1
shortly 1
similar 1
sinai 3
since 1
so 3
some 3
somehow 1
somewhat 1
son 3
songs 1
soon 1
sort 1
soul 1
spaceship 2
stead 1
steam 1
storm 2
storms 1
such 1
take 1
takes 2
task 1
teleports 1
texts 1
that 20
the 49
their 3
them 2
theorize 2
there 2
these 1
they 7
third 1
this 1
threaten 1
thrills 1
through 2
time 4
to 40
tooth 1
travel 1
travelled 1
travelling 1
triumphantly 1
try 1
two 1
unable 1
under 1
understand 1
unstable 1
until 1
up 3
used 1
uses 1
vanish 1
velora 2
very 1
via 1
visit 1
voice 1
voices 1
wants 1
was 1
way 1
weather 3
well 1
what 1
when 4
where 2
while 3
who 2
whom 1
will 5
wing 2
wishes 1
with 9
work 1
working 1
years 1
ysral 2
