5315587
/m/0df3y8
/m/0df3y8
George MacDonald


a 8
accidentally 1
after 2
air 2
almost 1
an 1
and 19
another 1
any 1
anything 1
are 2
arrives 1
art 1
as 3
at 1
babies 1
back 1
be 4
becoming 1
between 1
block 2
body 1
break 1
brought 3
but 3
by 1
can 3
capable 1
carrying 1
ceases 1
changed 1
children 1
christening 1
company 1
condition 1
consulted 1
could 1
country 1
court 1
cries 2
cry 3
cure 1
curse 1
curses 1
daughter 1
dawn 1
days 1
deed 1
demand 1
die 1
discovered 1
discovers 1
down 1
drags 1
drained 1
dries 1
drowned 1
drowning 2
dry 1
ending 1
even 1
ever 1
every 1
everyone 1
except 1
falls 3
fault 1
fills 2
find 1
finds 3
floor 1
flowing 1
forest 1
frantically 1
from 4
goes 1
gravity 3
grows 1
had 1
has 2
have 3
he 7
her 14
him 3
his 2
hole 1
house 1
if 1
in 8
induce 1
instantly 1
intended 1
invitation 1
invites 1
is 11
it 6
keep 1
king 3
lake 6
land 2
leads 1
learns 1
light 2
living 1
longer 1
lose 1
lost 1
love 1
loves 2
makemnoit 3
man 1
manner 1
many 1
marries 1
marry 1
masters 1
meanwhile 1
might 1
moves 1
never 2
night 1
no 2
none 1
not 2
nothing 1
nurse 1
of 4
off 1
old 1
on 2
only 2
out 3
pass 1
passionately 1
philosophers 1
prince 6
princess 14
proposal 1
propose 1
puts 1
queen 2
rain 1
regains 1
rescues 1
scolding 1
see 1
seek 1
serious 1
sets 2
she 11
side 1
sister 1
some 1
sour 1
spiteful 1
springs 1
stop 1
stopped 1
suffer 1
swimming 3
swims 1
take 1
tend 1
that 7
the 46
their 1
they 1
thing 1
thinking 1
this 1
through 1
time 1
to 17
unable 1
undermined 1
up 6
upon 2
used 1
volunteers 1
wakes 1
walking 1
water 5
waters 1
way 1
when 3
whenever 1
while 1
who 2
whom 1
wife 1
will 2
wind 1
wise 1
with 3
without 1
woman 2
would 1
