7266781
/m/025xqdp
/m/025xqdp
Allan Cole
1985
a 8
able 1
aboard 1
about 1
absence 1
after 1
agent 1
alarming 1
alex 2
also 1
amateur 2
an 1
and 10
apparently 1
are 1
as 4
asks 1
assassinate 1
assassination 1
assignment 1
at 2
attempt 1
avoid 1
backup 1
bar 1
barely 1
begin 1
beginning 1
between 2
bodyguards 1
bomb 2
bomberman 2
boring 2
brain 1
but 2
by 3
can 2
capture 3
captured 1
cards 1
case 1
choice 1
codeword 1
commander 1
commits 1
common 1
communication 1
continue 1
corps 1
coup 1
court 2
decide 1
delegation 4
detective 1
detonated 1
diplomatic 1
discover 1
discovers 2
do 1
during 1
emperor 9
empire 1
equipment 1
escape 1
eternal 3
eventually 1
explosion 3
extracts 1
failing 1
female 1
finds 2
flagship 1
follow 1
followup 1
for 5
former 1
friends 1
from 1
full 1
goes 2
got 1
guard 2
gunfights 1
gurkgas 1
gurkhas 2
haines 1
happened 1
happy 1
has 1
he 9
help 2
him 4
himself 1
hired 2
his 4
however 2
identify 1
immediately 2
imperial 2
imprisoned 2
in 3
incapacited 1
including 1
incognito 1
interrogation 1
investigation 2
is 7
isnt 1
it 1
kilgore 1
killed 1
killing 1
kills 1
leader 1
lisa 1
local 1
mafia 1
man 1
many 1
meant 1
meeting 2
member 1
members 2
mercury 2
motion 1
much 1
murdered 1
name 1
new 1
news 1
no 2
nothing 1
now 1
of 7
on 3
only 1
operation 1
orders 2
original 1
overthrow 1
people 2
personal 1
place 1
plan 2
praetorian 2
preparation 1
professional 1
provocation 1
provoking 1
pursues 1
put 2
puts 1
rashid 2
reason 1
rebels 2
renegade 1
reprogram 1
responsible 1
sabotaged 1
save 1
saves 1
side 1
so 2
startled 1
sten 13
suicide 1
supposed 2
surprised 1
table 1
tahn 6
take 1
target 2
than 1
that 5
the 18
their 3
they 1
thinking 1
to 12
tough 1
travel 1
try 1
up 1
violent 1
visibly 1
war 2
was 6
were 1
what 1
when 2
while 1
who 3
whoever 1
whole 1
whose 2
with 7
world 1
would 1
