2015899
/m/06f7s6
/m/06f7s6
Cornelia Funke
1997
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature", "/m/03qfd": "High fantasy"}
a 47
abandoned 1
ability 1
able 1
abode 1
about 1
above 1
accept 1
accepts 1
account 1
actually 1
added 1
adhere 1
adhesive 1
advice 2
afire 1
after 1
again 4
agrees 3
aid 2
airplane 1
alchemist 2
all 4
allowed 1
allowing 1
almostperfect 1
alone 2
along 1
also 5
altitude 1
amiable 1
among 1
an 4
and 49
annoyed 1
another 1
answer 1
any 1
appears 1
arcane 1
archaeologists 1
are 10
armor 3
armorcleaner 1
army 1
arriving 1
as 15
astonished 1
at 4
ate 1
atop 1
attached 1
attempts 1
awakened 1
back 4
band 1
basilisk 1
be 4
becoming 2
been 4
before 3
befriends 1
begins 2
believes 1
belonged 1
ben 15
beware 1
beyond 1
boat 1
boy 2
break 1
breaks 1
breathes 1
bring 2
bringer 1
brothers 1
brownie 4
building 1
burrburrchan 2
but 12
by 15
called 1
can 3
cannot 1
caretakers 1
cartographing 1
castle 1
catch 1
cave 3
center 1
changed 1
child 1
city 2
clan 1
collects 1
come 2
comes 3
coming 1
companion 1
company 5
compare 1
compensator 1
constant 1
continues 2
conveys 1
convinced 1
could 1
country 1
course 2
cousin 1
cowards 1
crabs 1
created 1
creatures 1
daughter 1
day 1
days 1
daytime 1
decide 1
decided 1
deeply 1
degenerated 1
departure 2
descend 1
despite 1
destiny 1
dewdrops 1
dig 1
disbelief 1
discover 2
discovered 1
disgust 1
dismay 1
dissolving 1
distract 1
disturbs 1
divebombed 1
djinn 4
do 2
does 2
doing 1
down 1
dr 1
dracologist 2
draconoid 1
dragon 9
dragonfire 1
dragons 16
drunk 1
due 1
dwarf 2
dwarves 1
eager 1
earth 1
earthbound 1
eclipse 1
efforts 1
egypt 1
either 1
elated 1
eleven 1
else 1
encounter 2
encountering 1
enemies 1
enemy 1
enhance 1
enter 1
enters 2
escape 1
eventually 2
ever 1
everything 1
excitedly 1
expects 1
experiments 1
eyes 3
factnettlebrand 1
fail 1
falls 1
false 1
family 2
few 3
fight 1
find 6
findings 1
fingers 1
fire 1
firedrake 19
firepower 1
flight 1
flood 1
flower 1
fly 6
flying 1
follows 1
for 7
forced 2
form 2
formations 1
fortune 1
fourarmed 1
frees 1
freezingcold 1
friends 3
frightened 1
frightening 1
from 5
fulfilling 1
functions 1
gateway 1
gather 1
gave 1
gemstones 1
general 1
ghalib 2
gilbert 4
gives 2
go 1
going 1
gold 2
golden 3
goldenscaled 1
good 1
gravelbeard 6
graytail 3
great 2
greenbloom 7
grim 1
group 1
grown 1
guide 1
guides 1
guinevere 3
had 1
has 6
hat 1
have 4
having 1
hazardous 1
he 17
head 1
heard 1
heaven 9
heeds 1
help 2
helped 1
her 7
here 1
hide 3
hiding 2
him 14
himself 1
his 19
home 2
homunculus 1
hope 1
horns 1
how 1
however 1
human 1
humans 4
hunting 3
imaginary 1
immediately 1
immune 1
in 27
incident 1
indeed 1
inducing 1
indus 1
information 1
inhabited 1
initially 2
inspired 1
intentions 1
into 5
investigate 1
investigations 1
is 23
it 6
its 1
joined 1
kept 1
killed 1
killing 2
kin 1
kindly 1
knowing 1
knows 3
lack 1
lake 1
lands 1
language 1
large 1
last 2
later 1
lead 2
learns 1
leaves 1
legend 2
lie 1
life 1
live 2
lived 1
lives 1
living 2
locate 1
location 1
lola 5
look 1
lose 1
lost 1
lunar 1
machine 1
made 1
maia 3
make 1
makes 1
manages 1
map 1
mapmaker 1
marked 1
marvelous 1
master 1
meanwhile 2
meet 2
melts 1
members 1
men 1
mention 1
message 1
metallic 1
miniature 2
mix 1
moment 1
monastery 4
monks 2
months 1
moondew 1
moonlight 6
moonstone 2
more 2
most 1
mountain 2
mountains 1
must 3
mysterious 1
named 4
nearby 1
nettlebrand 28
new 1
news 4
niece 1
no 2
not 4
nothing 1
novel 1
now 1
obtain 1
occupy 1
occupying 1
occurs 1
ocean 1
of 48
off 4
offers 1
oldest 1
on 15
once 5
one 10
only 4
onward 1
or 1
orders 1
original 2
originan 1
orphaned 1
other 7
others 1
out 2
outside 1
over 1
own 2
paint 1
pair 1
pakistan 2
panicking 1
part 1
parties 2
party 3
passion 1
path 1
peaceful 1
perceived 1
perfect 1
petrified 1
pick 1
places 1
plan 2
plane 1
point 2
polish 2
presence 1
prisoner 1
professor 8
promptly 1
prophecy 1
purpose 1
pursuit 2
queries 1
question 2
quickly 1
range 1
rat 1
raven 2
ravens 5
reaches 2
reacts 1
receives 1
recently 1
recover 1
redeyed 1
reduces 1
refuge 2
refuse 1
reincarnation 1
relaying 1
relays 1
reluctant 1
rendezvous 1
replaced 1
requirements 1
resides 1
result 1
returning 1
reveal 2
revealing 1
reveals 2
rider 2
right 1
rim 9
river 1
roc 1
rock 1
rosa 2
safe 1
saliva 2
save 1
scale 1
scales 2
scientist 1
sea 1
searchers 2
see 3
seek 3
seen 2
sends 2
serpent 2
serpentback 1
set 3
sets 2
shatters 1
she 5
shedragon 1
shore 2
should 1
shows 1
sickness 1
silver 7
similar 1
since 3
single 1
site 1
skill 1
slatebeard 3
smeared 1
so 2
some 1
somewhere 1
soon 2
sooner 1
sorrel 12
sparks 1
species 2
